"car_brand","car_model","car_price","car_fuel","car_transmission","car_mileage","car_age"
"Hyundai"," Creta",15000,"Diesel","manual",41000,9
"Hyundai","i20",2244,"gasoline","manual",45807,14
"Hyundai","i20",5688,"gasoline","manual",35487,10
"Hyundai"," Elantra",10620,"gasoline","automatic",46374,10
"Hyundai"," Elantra",5100,"Diesel","manual",58005,16
"Hyundai"," Xcent",4620,"Diesel","manual",75000,10
"Hyundai"," Grand",4320,"gasoline","manual",54000,9
"Hyundai"," i10",2484,"gasoline","manual",32000,14
"Hyundai"," Creta",12600,"Diesel","manual",13000,6
"Hyundai"," i10",4176,"gasoline","automatic",45178,12
"Hyundai"," i10",2700,"gasoline","manual",95980,15
"Hyundai"," Grand",6900,"gasoline","manual",16000,8
"Hyundai"," Verna",4140,"Diesel","manual",70002,14
"Hyundai","i20",4560,"Diesel","manual",78958,13
"Hyundai","i20",5580,"gasoline","manual",30180,10
"Hyundai","i20",3240,"gasoline","manual",66000,15
"Hyundai"," Verna",6300,"Diesel","automatic",40000,10
"Hyundai"," Verna",13140,"Diesel","manual",10250,6
"Hyundai"," Verna",13800,"gasoline","automatic",12645,5
"Hyundai"," EON",5076,"gasoline","manual",14322,5
"Hyundai"," i10",3300,"gasoline","manual",60000,11
"Hyundai"," Grand",7800,"gasoline","manual",1000,5
"Hyundai","i20",10020,"Diesel","manual",29000,10
"Hyundai"," Verna",5520,"Diesel","manual",62000,12
"Hyundai"," i10",4848,"gasoline","manual",52340,7
"Hyundai"," i10",4260,"gasoline","manual",43571,9
"Hyundai","i20",7200,"gasoline","manual",61012,8
"Hyundai"," Verna",5700,"Diesel","manual",117837,12
"Hyundai"," Creta",9780,"gasoline","manual",27057,9
"Hyundai"," i10",3480,"gasoline","manual",44000,12
"Hyundai","i20",9864,"gasoline","manual",25166,6
"Hyundai"," Santa Fe",8400,"Diesel","automatic",67000,13
"Hyundai","i20",7524,"gasoline","manual",14960,6
"Hyundai","i20",8640,"Diesel","manual",56847,9
"Hyundai"," Grand",5700,"Diesel","manual",33000,7
"Hyundai"," Accent",2160,"Diesel","manual",160538,18
"Hyundai"," i10",2100,"gasoline","manual",83000,14
"Hyundai"," Tucson",26388,"Diesel","automatic",51346,6
"Hyundai"," Grand",4500,"gasoline","manual",16514,10
"Hyundai"," Verna",3120,"Diesel","manual",143275,16
"Hyundai","i20",3360,"gasoline","manual",52000,14
"Hyundai"," Creta",16500,"Diesel","manual",28000,8
"Hyundai"," i10",3900,"gasoline","manual",36000,14
"Hyundai"," Verna",5136,"gasoline","manual",54308,12
"Hyundai","i20",3732,"Diesel","manual",46000,11
"Hyundai","i20",7152,"gasoline","automatic",45051,10
"Hyundai"," i10",3720,"gasoline","manual",74000,14
"Hyundai"," i10",3360,"gasoline","manual",45275,12
"Hyundai","i20",6600,"Diesel","manual",83000,12
"Hyundai"," i10",3540,"gasoline","automatic",37000,15
"Hyundai","i20",3960,"gasoline","manual",79152,13
"Hyundai","i20",9192,"gasoline","manual",24973,8
"Hyundai"," EON",4260,"gasoline","manual",27904,8
"Hyundai"," Verna",6300,"Diesel","manual",80000,12
"Hyundai"," i10",3240,"gasoline","manual",620000,15
"Hyundai"," Grand",6924,"gasoline","automatic",37081,9
"Hyundai"," Xcent",4800,"Diesel","manual",74310,9
"Hyundai"," Verna",3000,"gasoline","manual",95000,14
"Hyundai"," EON",3900,"gasoline","manual",37000,10
"Hyundai"," Verna",5940,"gasoline","manual",49768,13
"Hyundai"," Accent",960,"gasoline","manual",5834,19
"Hyundai","i20",8280,"gasoline","manual",40250,7
"Hyundai"," EON",2700,"gasoline","manual",20800,9
"Hyundai"," Grand",6600,"gasoline","manual",40322,6
"Hyundai"," Creta",14436,"gasoline","manual",23163,7
"Hyundai"," EON",4872,"gasoline","manual",13102,6
"Hyundai"," EON",3120,"gasoline","manual",20600,10
"Hyundai"," Creta",16524,"gasoline","automatic",29952,7
"Hyundai","i20",9576,"gasoline","manual",26185,7
"Hyundai","i20",8640,"gasoline","manual",6800,8
"Hyundai"," Xcent",6300,"Diesel","manual",51000,8
"Hyundai"," Grand",5520,"Diesel","manual",14000,7
"Hyundai"," Santro",2664,"gasoline","manual",46000,16
"Hyundai"," Grand",5400,"gasoline","manual",27000,9
"Hyundai"," Verna",5760,"Diesel","manual",37873,11
"Hyundai"," Creta",18600,"Diesel","automatic",32000,8
"Hyundai"," i10",2784,"gasoline","manual",59000,14
