"car_brand","car_model","car_price","car_fuel","car_transmission","car_mileage","car_age"
"Audi","100",5e+05,"gasoline","manual",421000,31
"Audi","100",320000,"gasoline","manual",355000,32
"Audi","100",349777,"gasoline","manual",180122,31
"Audi","100",467900,"gasoline","automatic",286382,30
"Audi","100",70000,"gasoline","manual",264000,32
"Audi","80",150000,"gasoline","manual",150000,36
"Audi","80",117000,"gasoline","manual",221000,38
"Audi","80",110000,"gasoline","manual",522222,35
"Audi","80",218900,"gasoline","manual",395000,33
"Audi","80",215000,"gasoline","manual",337077,33
"Audi","80",1e+05,"gasoline","manual",455000,38
"Audi","80",150000,"gasoline","manual",200000,35
"Audi","80",286939,"gasoline","automatic",368000,30
"Audi","A",55000,"gasoline","automatic",11500,5
"Audi","A",55000,"gasoline","automatic",11500,5
"Audi","A",52124,"gasoline","automatic",60000,7
"Audi","A",33072,"gasoline","automatic",106500,10
"Audi","A",33072,"gasoline","automatic",106500,10
"Audi","A",55000,"gasoline","automatic",11500,5
"Audi","A",55000,"gasoline","automatic",11500,5
"Audi","A",30555,"gasoline","automatic",40000,11
"Audi","A",31634,"gasoline","automatic",72000,5
"Audi","A",66503,"gasoline","automatic",47792,5
"Audi","A",33072,"gasoline","automatic",106500,10
"Audi","A",33072,"gasoline","automatic",106500,10
"Audi","A",49967,"gasoline","automatic",78000,7
"Audi","A",49967,"gasoline","automatic",78000,7
"Audi","A",35947,"gasoline","automatic",88857,7
"Audi","A",35947,"gasoline","automatic",109793,7
"Audi","A",60033,"gasoline","automatic",70000,7
"Audi","A",66503,"gasoline","automatic",47792,5
"Audi","A",24624,"gasoline","automatic",45954,9
"Audi","A",49967,"gasoline","automatic",78000,7
"Audi","A",49967,"gasoline","automatic",78000,7
"Audi","A",64706,"gasoline","automatic",45000,5
"Audi","A",64706,"gasoline","automatic",45000,5
"Audi","A",22287,"gasoline","automatic",138376,7
"Audi","A",35947,"gasoline","automatic",88857,7
"Audi","A",55719,"gasoline","automatic",41000,8
"Audi","A",55719,"gasoline","automatic",41000,8
"Audi","A",35947,"gasoline","automatic",109793,7
"Audi","A",26960,"gasoline","automatic",56000,6
"Audi","A",26960,"gasoline","automatic",56000,6
"Audi","A",25882,"gasoline","automatic",82167,10
"Audi","A",26960,"gasoline","automatic",70384,8
"Audi","A",53921,"gasoline","automatic",78000,5
"Audi","A",117909,"gasoline","automatic",48000,4
"Audi","A",117909,"gasoline","automatic",48000,4
