"car_brand","car_model","car_price","car_fuel","car_transmission","car_mileage","car_age"
"Audi","Q5",56100,"diesel","automatic",19000,4
"Audi","A4",15480,"diesel","automatic",78000,11
"Audi","Q3",17700,"diesel","automatic",71000,11
"Audi","A4",22212,"gasoline","automatic",55000,8
"Audi","A6",20400,"diesel","automatic",60000,11
"Audi","Q7",24000,"diesel","automatic",98000,12
"Audi","A3",48000,"gasoline","automatic",8000,6
"Audi","Q3",24600,"diesel","automatic",69000,9
"Audi","A6",41880,"diesel","automatic",24000,6
"Audi","A4",14400,"diesel","automatic",65000,11
"Audi","A6",21600,"diesel","automatic",21000,10
"Audi","Q3",29400,"diesel","automatic",10999,7
"Audi","A5",53640,"diesel","automatic",9000,7
"Audi","Q7",31800,"diesel","automatic",28000,11
"Audi","A4",36000,"diesel","automatic",34500,6
"Audi","A4",12000,"diesel","automatic",40000,13
"Audi","A4",18600,"diesel","automatic",56000,10
"Audi","Q7",28800,"diesel","automatic",120000,10
"Audi","A4",12000,"diesel","automatic",61000,13
"Audi","Q7",22680,"diesel","automatic",65000,13
"Audi","A4",15300,"diesel","automatic",23994,12
"Audi","A6",55200,"gasoline","automatic",3000,4
"Audi","A4",15000,"diesel","automatic",29000,11
"Audi","Q3",25200,"diesel","automatic",50000,12
"Audi","Q7",25080,"diesel","automatic",85000,11
"Audi","Q3",17400,"diesel","automatic",45000,11
"Audi","Q7",26400,"diesel","automatic",155000,14
"Audi","A4",31800,"gasoline","automatic",49000,7
"Audi","A4",14340,"diesel","automatic",39000,12
"Audi","Q7",28500,"diesel","automatic",40000,10
"Audi","A6",20400,"diesel","automatic",64000,10
"Audi","Q5",71400,"diesel","automatic",1700,4
"Audi","A4",11280,"diesel","automatic",110000,12
"Audi","A6",20400,"diesel","automatic",52121,10
"Audi","A4",10140,"gasoline","automatic",67000,14
"Audi","A6",19800,"diesel","automatic",56787,11
"Audi","Q3",26400,"diesel","automatic",75000,8
"Audi","Q5",16200,"diesel","automatic",53343,13
"Audi","A6",12000,"diesel","automatic",110000,13
"Audi","A6",31200,"diesel","automatic",27000,7
"Audi","Q7",34800,"diesel","automatic",72000,9
"Audi","Q3",29400,"diesel","automatic",48800,7
"Audi","A3",19800,"diesel","automatic",41000,8
"Audi","Q3",31200,"diesel","automatic",32000,7
"Audi","A6",19200,"diesel","automatic",74000,11
"Audi","Q7",22488,"diesel","automatic",128000,11
"Audi","A4",18600,"diesel","automatic",67700,10
"Audi","A4",15600,"diesel","automatic",85250,12
"Audi","A6",19800,"diesel","automatic",64000,12
"Audi","Q3",13800,"diesel","automatic",107000,10
"Audi","A4",20220,"diesel","automatic",70000,8
"Audi","Q7",12000,"diesel","automatic",67000,15
"Audi","Q7",57600,"diesel","automatic",40182,8
"Audi","Q3",18000,"diesel","automatic",80000,12
"Audi","A4",16500,"diesel","automatic",35000,11
"Audi","A6",21588,"diesel","automatic",50000,10
"Audi","Q3",29400,"diesel","automatic",36000,6
"Audi","Q3",32400,"diesel","automatic",28237,8
"Audi","Q3",38400,"diesel","automatic",12000,6
"Audi","A6",20400,"diesel","automatic",56000,11
"Audi","A4",25080,"diesel","automatic",36000,7
"Audi","Q3",17700,"diesel","automatic",39317,11
"Audi","Q3",30600,"diesel","manual",36000,6
"Audi","A6",10284,"diesel","automatic",105000,13
"Audi","Q5",18300,"diesel","automatic",70000,11
"Audi","A4",13200,"gasoline","automatic",120000,12
"Audi","A3",18600,"diesel","automatic",56897,9
"Audi","Q5",34788,"diesel","automatic",39000,7
"Audi","Q5",21600,"diesel","automatic",70000,11
"Audi","Q3",32100,"diesel","automatic",32000,6
"Audi","Q3",21000,"diesel","automatic",38000,10
"Audi","A4",15000,"diesel","automatic",75000,12
"Audi","A4",20700,"diesel","automatic",55200,9
"Audi","A6",22800,"diesel","automatic",52000,10
"Audi","A8",26400,"diesel","automatic",75000,12
"Audi","Q5",15600,"diesel","automatic",70000,13
"Audi","Q3",21600,"diesel","automatic",25000,10
"Audi","A4",16140,"diesel","automatic",68370,12
