연번,호선,고유역번호(외부역코드),역명,승하차구분,수송연월,승하차인원수
1,1,150,서울역,승차,2022-01,118173
2,1,150,서울역,하차,2022-01,111415
3,1,151,시청,승차,2022-01,47686
4,1,151,시청,하차,2022-01,46713
5,1,152,종각,승차,2022-01,87092
6,1,152,종각,하차,2022-01,81694
7,1,153,종로3가,승차,2022-01,210706
8,1,153,종로3가,하차,2022-01,195752
9,1,154,종로5가,승차,2022-01,184059
10,1,154,종로5가,하차,2022-01,176738
11,1,155,동대문,승차,2022-01,85382
12,1,155,동대문,하차,2022-01,84256
13,1,156,신설동,승차,2022-01,87259
14,1,156,신설동,하차,2022-01,83267
15,1,157,제기동,승차,2022-01,236909
16,1,157,제기동,하차,2022-01,256062
17,1,158,청량리(서울시립대입구),승차,2022-01,207484
18,1,158,청량리(서울시립대입구),하차,2022-01,211782
19,1,159,동묘앞,승차,2022-01,112198
20,1,159,동묘앞,하차,2022-01,112747
21,2,201,시청,승차,2022-01,33502
22,2,201,시청,하차,2022-01,29730
23,2,202,을지로입구,승차,2022-01,63013
24,2,202,을지로입구,하차,2022-01,59047
25,2,203,을지로3가,승차,2022-01,52740
26,2,203,을지로3가,하차,2022-01,52114
27,2,204,을지로4가,승차,2022-01,64349
28,2,204,을지로4가,하차,2022-01,62963
29,2,205,동대문역사문화공원(DDP),승차,2022-01,37171
30,2,205,동대문역사문화공원(DDP),하차,2022-01,40109
31,2,206,신당,승차,2022-01,68822
32,2,206,신당,하차,2022-01,69946
33,2,207,상왕십리,승차,2022-01,46845
34,2,207,상왕십리,하차,2022-01,47628
35,2,208,왕십리(성동구청),승차,2022-01,33538
36,2,208,왕십리(성동구청),하차,2022-01,28817
37,2,209,한양대,승차,2022-01,7691
38,2,209,한양대,하차,2022-01,8014
39,2,210,뚝섬,승차,2022-01,38290
40,2,210,뚝섬,하차,2022-01,38794
41,2,211,성수,승차,2022-01,66551
42,2,211,성수,하차,2022-01,67899
43,2,212,건대입구,승차,2022-01,58304
44,2,212,건대입구,하차,2022-01,61228
45,2,213,구의(광진구청),승차,2022-01,70552
46,2,213,구의(광진구청),하차,2022-01,72985
47,2,214,강변(동서울터미널),승차,2022-01,73534
48,2,214,강변(동서울터미널),하차,2022-01,72050
49,2,215,잠실나루,승차,2022-01,56623
50,2,215,잠실나루,하차,2022-01,56973
51,2,216,잠실(송파구청),승차,2022-01,121947
52,2,216,잠실(송파구청),하차,2022-01,116429
53,2,217,잠실새내,승차,2022-01,76237
54,2,217,잠실새내,하차,2022-01,76516
55,2,218,종합운동장,승차,2022-01,27805
56,2,218,종합운동장,하차,2022-01,28653
57,2,219,삼성(무역센터),승차,2022-01,77624
58,2,219,삼성(무역센터),하차,2022-01,71219
59,2,220,선릉,승차,2022-01,148456
60,2,220,선릉,하차,2022-01,131901
61,2,221,역삼,승차,2022-01,101535
62,2,221,역삼,하차,2022-01,101582
63,2,222,강남,승차,2022-01,116464
64,2,222,강남,하차,2022-01,104044
65,2,223,교대(법원.검찰청),승차,2022-01,103119
66,2,223,교대(법원.검찰청),하차,2022-01,115052
67,2,224,서초,승차,2022-01,51474
68,2,224,서초,하차,2022-01,50634
69,2,225,방배,승차,2022-01,51779
70,2,225,방배,하차,2022-01,50803
71,2,226,사당,승차,2022-01,123988
72,2,226,사당,하차,2022-01,119688
73,2,227,낙성대(강감찬),승차,2022-01,71608
74,2,227,낙성대(강감찬),하차,2022-01,73313
75,2,228,서울대입구(관악구청),승차,2022-01,125049
76,2,228,서울대입구(관악구청),하차,2022-01,119872
77,2,229,봉천,승차,2022-01,97458
78,2,229,봉천,하차,2022-01,99068
79,2,230,신림,승차,2022-01,150210
80,2,230,신림,하차,2022-01,153336
81,2,231,신대방,승차,2022-01,84643
82,2,231,신대방,하차,2022-01,85978
83,2,232,구로디지털단지,승차,2022-01,113483
84,2,232,구로디지털단지,하차,2022-01,114744
85,2,233,대림(구로구청),승차,2022-01,81880
86,2,233,대림(구로구청),하차,2022-01,85468
87,2,234,신도림,승차,2022-01,125940
88,2,234,신도림,하차,2022-01,119491
89,2,235,문래,승차,2022-01,53012
90,2,235,문래,하차,2022-01,52645
91,2,236,영등포구청,승차,2022-01,66919
92,2,236,영등포구청,하차,2022-01,67010
93,2,237,당산,승차,2022-01,38689
94,2,237,당산,하차,2022-01,42003
95,2,238,합정,승차,2022-01,44790
96,2,238,합정,하차,2022-01,44072
97,2,239,홍대입구,승차,2022-01,61171
98,2,239,홍대입구,하차,2022-01,58451
99,2,240,신촌,승차,2022-01,81280
100,2,240,신촌,하차,2022-01,79318
101,2,241,이대,승차,2022-01,31835
102,2,241,이대,하차,2022-01,33226
103,2,242,아현,승차,2022-01,44698
104,2,242,아현,하차,2022-01,44511
105,2,243,충정로(경기대입구),승차,2022-01,31470
106,2,243,충정로(경기대입구),하차,2022-01,31508
107,2,244,용답,승차,2022-01,13123
108,2,244,용답,하차,2022-01,12779
109,2,245,신답,승차,2022-01,6726
110,2,245,신답,하차,2022-01,7414
111,2,246,신설동,승차,2022-01,25022
112,2,246,신설동,하차,2022-01,27954
113,2,247,도림천,승차,2022-01,5547
114,2,247,도림천,하차,2022-01,6038
