"car_brand","car_model","car_price","car_fuel","car_transmission","car_mileage","car_age"
"Audi","A4",1774000,"diesel","automatic",40670,"11"
"Audi","A6",2350000,"gasoline","automatic",55985,"9"
"Audi","A6",1150000,"diesel","automatic",35000,"14"
"Audi","A4",2143000,"diesel","automatic",13648,"9"
"Audi","A4",1350000,"diesel","automatic",65664,"12"
"Audi","A6",2950000,"diesel","automatic",56000,"10"
"Audi","A6",3958000,"diesel","automatic",48367,"6"
"Audi","A4",980000,"diesel","automatic",30000,"14"
"Audi","RS5",3700000,"gasoline","automatic",23000,"11"
"Audi","A4",2332000,"diesel","automatic",48214,"9"
"Audi","A6",1900000,"diesel","automatic",62500,"12"
"Audi","A6",2295000,"diesel","automatic",40000,"10"
"Audi","Q3",1990000,"diesel","automatic",64103,"9"
"Audi","A8",4500000,"diesel","automatic",56000,"12"
"Audi","Q7",7036000,"diesel","automatic",11287,"6"
"Audi","A6",2678000,"diesel","automatic",31652,"9"
"Audi","A6",2077000,"diesel","automatic",61726,"10"
"Audi","A6",2195000,"diesel","automatic",51495,"10"
"Audi","Q7",6267000,"diesel","automatic",97430,"7"
"Audi","Q7",1295000,"diesel","automatic",99000,"16"
"Audi","A3",1650000,"diesel","automatic",79271,"10"
"Audi","Q3",2571000,"diesel","automatic",37542,"7"
"Audi","A6",2450000,"gasoline","automatic",47000,"8"
"Audi","Q5",3900000,"diesel","automatic",38000,"10"
"Audi","Q3",2037000,"diesel","automatic",86642,"8"
"Audi","Q7",4891000,"diesel","automatic",51002,"8"
"Audi","A6",3756000,"diesel","automatic",41041,"7"
"Audi","TT",2950000,"gasoline","automatic",12100,"11"
"Audi","A6",1230000,"diesel","automatic",202082,"12"
"Audi","Q7",2977000,"diesel","automatic",79926,"10"
"Audi","A6",2422000,"gasoline","automatic",58953,"8"
"Audi","Q7",1200000,"diesel","automatic",94000,"15"
"Audi","Q3",2500000,"diesel","automatic",61000,"9"
"Audi","A6",2389000,"diesel","automatic",49964,"10"
"Audi","Q7",1800000,"diesel","automatic",120300,"16"
"Audi","A6",2900000,"diesel","automatic",48000,"10"
"Audi","Q5",2546000,"diesel","automatic",13452,"11"
"Audi","A4",1950000,"diesel","automatic",45979,"11"
"Audi","Q7",4335000,"diesel","automatic",46983,"9"
"Audi","Q3",2275000,"diesel","automatic",76927,"9"
"Audi","A6",1895000,"diesel","automatic",31000,"11"
"Audi","A6",1207000,"diesel","automatic",48040,"15"
"Audi","A4",1099000,"diesel","automatic",46000,"13"
"Audi","A4",1450000,"diesel","automatic",47346,"12"
"Audi","A4",1250000,"diesel","automatic",59000,"13"
"Audi","TT",3500000,"gasoline","automatic",7000,"12"
"Audi","A6",2399000,"diesel","automatic",70181,"11"
"Audi","Q5",4374000,"diesel","automatic",40318,"7"
"Audi","Q3",2e+06,"diesel","automatic",60000,"10"
"Audi","A4",995000,"diesel","automatic",34000,"15"
"Audi","Q3",1775000,"diesel","automatic",84000,"11"
"Audi","A4",2500000,"diesel","automatic",45000,"9"
"Audi","Q3",1450000,"diesel","automatic",60000,"11"
"Audi","Q7",5100000,"diesel","automatic",50000,"10"
"Audi","Q7",3894000,"diesel","automatic",53735,"9"
"Audi","Q7",3800000,"diesel","automatic",65938,"9"
"Audi","Q3",2100000,"diesel","automatic",60000,"11"
"Audi","Q5",4562000,"diesel","automatic",32496,"6"
"Audi","Q3",1525000,"diesel","automatic",45000,"11"
"Audi","A4",1435000,"diesel","automatic",77395,"10"
