"car_brand","car_model","car_price","car_fuel","car_transmission","car_mileage","car_age"
"Kia","Seltos",1300000,"diesel","automatic",10000,"6"
"Hyundai","Verna",6e+05,"diesel","manual",100000,"13"
"Hyundai","Xcent",550000,"gasoline","manual",25000,"9"
"Hyundai","Creta",850000,"gasoline","manual",25000,"10"
"Hyundai","Verna",6e+05,"diesel","manual",100000,"13"
"Hyundai","Xcent",550000,"gasoline","manual",25000,"9"
"Hyundai","Creta",850000,"gasoline","manual",25000,"10"
"Hyundai","Venue",1195000,"diesel","manual",5000,"6"
"Hyundai","i10",229999,"gasoline","manual",60000,"11"
"Hyundai","Elantra",625000,"diesel","manual",40000,"13"
"Hyundai","Santro",150000,"gasoline","manual",79000,"16"
"Hyundai","i10",5e+05,"gasoline","manual",15000,"6"
"Hyundai","i20",750000,"diesel","manual",29000,"7"
"Hyundai","i20",465000,"diesel","manual",70000,"11"
"Hyundai","EON",240000,"gasoline","manual",73300,"11"
"Hyundai","EON",3e+05,"gasoline","manual",31000,"7"
"Hyundai","i10",248000,"gasoline","manual",63000,"15"
"Hyundai","Getz",80000,"gasoline","manual",120000,"20"
"Hyundai","i10",450000,"diesel","manual",80000,"10"
"Hyundai","Elite",650000,"diesel","manual",25000,"6"
"Hyundai","Creta",1025000,"gasoline","manual",9000,"8"
"Hyundai","Santro",80000,"gasoline","manual",58000,"18"
"Hyundai","Sonata",6e+05,"diesel","manual",100000,"15"
"Hyundai","Elite",750000,"gasoline","manual",15000,"6"
"Hyundai","Creta",780000,"diesel","manual",60000,"9"
"Hyundai","Verna",690000,"gasoline","automatic",80000,"9"
"Hyundai","Creta",840000,"diesel","manual",70000,"9"
"Hyundai","i10",229999,"gasoline","manual",40000,"10"
"Hyundai","EON",2e+05,"gasoline","manual",70000,"10"
"Hyundai","Santro",75000,"gasoline","manual",57000,"22"
"Hyundai","EON",280000,"gasoline","manual",3240,"12"
"Hyundai","i20",540000,"gasoline","manual",5000,"10"
"Hyundai","i20",7e+05,"gasoline","manual",10000,"7"
"Hyundai","i20",430000,"diesel","manual",80000,"9"
"Hyundai","Santro",65000,"gasoline","manual",70000,"23"
"Hyundai","Santro",75000,"gasoline","manual",114000,"18"
"Hyundai","Getz",210000,"gasoline","manual",53772,"17"
"Hyundai","EON",170000,"gasoline","manual",60000,"13"
"Hyundai","i10",350000,"gasoline","automatic",50000,"14"
"Hyundai","Santro",70000,"gasoline","manual",110000,"19"
"Hyundai","i20",6e+05,"gasoline","manual",25000,"9"
"Hyundai","i20",280000,"gasoline","manual",110000,"16"
"Hyundai","i20",280000,"gasoline","manual",110000,"13"
"Hyundai","EON",265000,"gasoline","manual",55000,"11"
"Hyundai","i20",385000,"diesel","manual",58000,"13"
"Hyundai","EON",235000,"gasoline","manual",54000,"13"
"Hyundai","Verna",120000,"gasoline","manual",90000,"17"
"Hyundai","i20",7e+05,"gasoline","manual",10000,"8"
"Hyundai","i10",390000,"gasoline","manual",90000,"10"
"Hyundai","i10",175000,"gasoline","manual",139000,"14"
"Hyundai","i10",465000,"diesel","manual",25000,"7"
"Hyundai","i10",5e+05,"gasoline","manual",32000,"7"
"Hyundai","Elite",8e+05,"gasoline","manual",11240,"6"
"Hyundai","i10",490000,"diesel","manual",66000,"8"
"Hyundai","Santro",290000,"gasoline","manual",49000,"12"
"Hyundai","i20",680000,"diesel","manual",44000,"8"
"Hyundai","i20",180000,"diesel","manual",60000,"16"
"Hyundai","Getz",130000,"gasoline","manual",80000,"19"
"Hyundai","i20",650000,"gasoline","manual",20000,"7"
"Hyundai","i20",3e+05,"gasoline","manual",50000,"16"
"Hyundai","i20",270000,"gasoline","manual",110000,"15"
"Hyundai","Verna",550000,"diesel","manual",29000,"12"
"Hyundai","EON",229999,"gasoline","manual",30000,"7"
"Hyundai","EON",160000,"gasoline","manual",70000,"10"
"Hyundai","i10",250000,"gasoline","manual",50000,"16"
"Hyundai","Verna",5e+05,"gasoline","manual",25000,"10"
"Hyundai","i10",5e+05,"gasoline","manual",50000,"8"
