"car_brand","car_model","car_price","car_fuel","car_transmission","car_mileage","car_age"
"Hyundai"," Creta 1.6 CRDi SX Option",15000,"Diesel","manual",41000,9
"Hyundai"," i20 1.2 Magna",2244,"gasoline","manual",45807,14
"Hyundai"," i20 Magna Optional 1.2",5688,"gasoline","manual",35487,10
"Hyundai"," Elantra 2.0 SX Option AT",10620,"gasoline","automatic",46374,10
"Hyundai"," Elantra CRDi",5100,"Diesel","manual",58005,16
"Hyundai"," Xcent 1.1 CRDi S",4620,"Diesel","manual",75000,10
"Hyundai"," Grand i10 Sportz",4320,"gasoline","manual",54000,9
"Hyundai"," i10 Asta",2484,"gasoline","manual",32000,14
"Hyundai"," Creta 1.4 E Plus Diesel",12600,"Diesel","manual",13000,6
"Hyundai"," i10 Sportz 1.2 AT",4176,"gasoline","automatic",45178,12
"Hyundai"," i10 Sportz 1.2",2700,"gasoline","manual",95980,15
"Hyundai"," Grand i10 Sportz",6900,"gasoline","manual",16000,8
"Hyundai"," Verna Transform SX VGT CRDi",4140,"Diesel","manual",70002,14
"Hyundai"," i20 1.4 CRDi Sportz",4560,"Diesel","manual",78958,13
"Hyundai"," i20 Asta 1.2",5580,"gasoline","manual",30180,10
"Hyundai"," i20 2015-2017 Asta",3240,"gasoline","manual",66000,15
"Hyundai"," Verna 1.6 SX CRDI (O) AT",6300,"Diesel","automatic",40000,10
"Hyundai"," Verna CRDi 1.6 SX Option",13140,"Diesel","manual",10250,6
"Hyundai"," Verna VTVT 1.6 AT SX Plus",13800,"gasoline","automatic",12645,5
"Hyundai"," EON Magna Plus",5076,"gasoline","manual",14322,5
"Hyundai"," i10 Magna 1.2",3300,"gasoline","manual",60000,11
"Hyundai"," Grand i10 1.2 Kappa Asta",7800,"gasoline","manual",1000,5
"Hyundai"," i20 Asta 1.4 CRDi",10020,"Diesel","manual",29000,10
"Hyundai"," Verna 1.6 SX",5520,"Diesel","manual",62000,12
"Hyundai"," i10 Magna 1.1",4848,"gasoline","manual",52340,7
"Hyundai"," i10 Magna",4260,"gasoline","manual",43571,9
"Hyundai"," i20 Asta Option 1.2",7200,"gasoline","manual",61012,8
"Hyundai"," Verna 1.6 SX",5700,"Diesel","manual",117837,12
"Hyundai"," Creta 1.6 VTVT S",9780,"gasoline","manual",27057,9
"Hyundai"," i10 Magna 1.1",3480,"gasoline","manual",44000,12
"Hyundai"," i20 Active 1.2 SX",9864,"gasoline","manual",25166,6
"Hyundai"," Santa Fe 4x4 AT",8400,"Diesel","automatic",67000,13
"Hyundai"," i20 1.2 Magna Executive",7524,"gasoline","manual",14960,6
