"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white"
2001,3500,103,1,1,7.3,113200,1,0,0,0,0,0
2001,750,75,1,1,7.6,121000,1,0,0,0,0,0
2001,450,75,1,1,6.9,89000,1,0,0,0,0,0
2002,800,75,1,1,6.9,158620,1,0,0,0,0,0
2002,2400,101,1,1,6.6,131000,1,0,0,0,0,0
2002,2700,80,1,1,6.5,85000,1,0,0,0,0,0
2002,1200,80,1,1,6.5,168000,1,0,0,0,0,0
2002,1300,60,1,1,6.6,138000,1,0,0,0,0,0
2002,2588,75,1,1,6.9,395800,1,0,0,0,0,0
2002,1590,101,1,1,6.6,193000,0,0,0,1,0,0
2002,2222,80,1,1,6.4,102900,0,0,0,1,0,0
2002,1900,60,1,1,7.3,72700,0,0,0,1,0,0
2002,1300,80,1,1,6.5,221661,0,0,0,1,0,0
2002,1700,60,1,1,6,89500,0,1,0,0,0,0
2002,1995,80,1,1,6.4,127000,0,1,0,0,0,0
2002,1450,80,1,1,6.4,176650,0,1,0,0,0,0
2002,2400,80,1,1,6.5,215000,0,1,0,0,0,0
2002,1300,80,1,1,6.4,101783,0,1,0,0,0,0
2002,1750,80,1,1,6.5,134000,0,1,0,0,0,0
2002,2200,60,1,1,6.2,97255,0,1,0,0,0,0
2002,2900,69,1,1,6.2,60000,0,1,0,0,0,0
2002,1650,80,1,1,6.5,165000,0,1,0,0,0,0
2002,1990,80,1,1,6.5,130000,0,1,0,0,0,0
2003,1450,60,1,1,6.2,174000,1,0,0,0,0,0
2003,1800,60,1,1,6.2,171154,1,0,0,0,0,0
2003,1950,80,1,1,6.5,265000,1,0,0,0,0,0
2003,2500,60,1,1,6.2,230000,1,0,0,0,0,0
2003,1777,60,1,1,7.3,60000,1,0,0,0,0,0
2003,2100,60,1,1,6.5,94200,1,0,0,0,0,0
2003,1100,80,1,1,6.5,191000,1,0,0,0,0,0
2003,1600,60,1,1,7.3,136857,1,0,0,0,0,0
2003,1690,60,1,1,6.2,195000,1,0,0,0,0,0
2003,1300,69,1,1,6.2,200745,0,0,0,1,0,0
2003,500,68,1,0,4.6,400000,0,0,0,1,0,0
2003,1500,80,1,1,6.5,307275,0,0,0,1,0,0
2003,2500,80,1,1,6.5,220500,0,0,0,0,1,0
2003,1150,69,1,1,6.2,239000,0,0,0,0,1,0
2003,2399,69,1,1,6.2,151000,0,0,0,0,1,0
2003,3799,80,0,1,6.6,138000,0,1,0,0,0,0
2003,1390,60,1,1,6.2,126000,0,1,0,0,0,0
2003,2200,69,1,1,6.2,159000,0,1,0,0,0,0
2003,4299,80,1,1,7,28435,0,1,0,0,0,0
2003,1990,60,1,1,6.5,140000,0,1,0,0,0,0
2003,1500,80,1,1,6.4,143550,0,1,0,0,0,0
2003,800,101,1,1,6.6,400000,0,1,0,0,0,0
2003,1000,69,1,1,6.2,187000,0,1,0,0,0,0
2003,2000,60,1,1,6.5,146000,0,1,0,0,0,0
2003,1950,69,1,1,6.5,135500,0,1,0,0,0,0
2003,1450,69,1,1,6.5,214000,0,1,0,0,0,0
2003,2500,69,1,1,6.2,105058,0,1,0,0,0,0
2003,2990,60,1,1,6.5,162990,0,1,0,0,0,0
2003,1800,60,1,1,6.2,168000,0,1,0,0,0,0
2003,1400,60,1,1,6.9,239000,0,1,0,0,0,0
2003,950,80,1,1,6.4,154560,0,1,0,0,0,0
2003,599,60,1,1,6.5,104295,0,1,0,0,0,0
2003,2000,80,1,1,6.5,90230,0,1,0,0,0,0
2004,2480,80,1,1,7,158991,1,0,0,0,0,0
2004,1950,69,1,1,6,133000,1,0,0,0,0,0
2004,3300,80,1,1,6.5,115000,1,0,0,0,0,0
2004,1590,69,1,1,6.2,153000,1,0,0,0,0,0
