"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white","k_group"
2001,1500,75,1,1,6.6,287000,1,0,0,0,0,0,1
2001,1000,101,1,1,7,160000,1,0,0,0,0,0,3
2001,2750,101,1,1,7,160000,1,0,0,0,0,0,3
2001,600,101,1,1,7,145000,1,0,0,0,0,0,3
2001,600,101,1,1,6.8,226000,1,0,0,0,0,0,1
2001,3000,101,1,1,7.3,83791,1,0,0,0,0,0,3
2001,1900,101,1,1,7,195000,1,0,0,0,0,0,1
2001,799,75,1,1,6.6,268607,1,0,0,0,0,0,1
2001,750,101,1,1,7,250000,0,1,0,0,0,0,1
2001,1630,75,1,1,6.6,103000,0,1,0,0,0,0,3
2001,890,101,1,1,6.8,227559,0,1,0,0,0,0,1
2001,1950,101,1,1,7,186000,0,1,0,0,0,0,1
2001,1490,116,1,1,7.7,185000,0,1,0,0,0,0,1
2001,2900,116,1,1,7.5,132000,0,1,0,0,0,0,3
2001,1990,101,1,1,7,218000,0,1,0,0,0,0,1
2001,2490,101,1,1,7.3,270151,0,1,0,0,0,0,1
2001,1350,101,1,1,6.8,260522,0,1,0,0,0,0,1
2001,790,75,1,1,6.7,255700,0,1,0,0,0,0,1
2001,500,116,1,1,7.6,244000,0,1,0,0,0,0,1
2002,4850,101,1,1,6.8,150000,1,0,0,0,0,0,3
2002,2999,101,1,1,7.3,127071,1,0,0,0,0,0,3
2002,1499,90,1,0,5.4,240000,1,0,0,0,0,0,1
2002,2790,75,1,1,6.6,196900,1,0,0,0,0,0,1
2002,1150,101,1,1,6.8,257768,1,0,0,0,0,0,1
2002,2700,101,1,1,6.8,167000,1,0,0,0,0,0,3
2002,599,101,1,1,6.8,147000,0,0,0,1,0,0,3
2002,1500,75,1,1,6.6,150000,0,0,0,1,0,0,3
2002,1700,116,1,1,7.6,308500,0,0,0,1,0,0,1
2002,1999,75,1,0,5.1,235000,0,1,0,0,0,0,1
2002,1190,101,0,1,8.4,194700,0,1,0,0,0,0,1
2002,3333,101,0,1,8.4,195000,0,1,0,0,0,0,1
2002,2998,101,1,1,6.8,147900,0,1,0,0,0,0,3
2002,2999,101,1,1,7.3,209441,0,1,0,0,0,0,1
2002,1490,101,1,1,6.8,147800,0,1,0,0,0,0,3
2002,1600,101,1,1,6.8,191000,0,1,0,0,0,0,1
2003,2100,101,1,1,6.8,227000,1,0,0,0,0,0,1
2003,300,116,1,0,5.4,380000,1,0,0,0,0,0,1
2003,22500,215,1,1,10.1,197000,1,0,0,0,0,0,1
2003,1990,120,1,1,7.2,152240,1,0,0,0,0,0,3
2003,1000,90,1,0,5.7,203000,1,0,0,0,0,0,1
2003,2220,101,1,1,6.8,210000,1,0,0,0,0,0,1
2003,1800,101,1,1,6.8,210000,1,0,0,0,0,0,1
2003,2990,101,0,1,8.7,154403,0,0,0,1,0,0,3
2003,444,101,1,1,7.3,199678,0,0,0,0,1,0,1
2003,1690,116,1,0,5.4,199427,0,0,0,0,1,0,1
2003,2490,101,1,1,7.3,226608,0,0,0,0,1,0,1
2003,1890,101,1,1,7.3,187000,0,0,0,0,1,0,1
2003,2200,116,1,1,7.5,244000,0,0,0,0,1,0,1
2003,499,101,1,1,6.8,160000,0,1,0,0,0,0,3
2003,1899,101,1,1,7.3,145000,0,1,0,0,0,0,3
2003,1950,101,1,1,6.8,166500,0,1,0,0,0,0,3
2003,2999,101,1,1,6.8,219291,0,1,0,0,0,0,1
2003,2499,116,1,1,7.9,159000,0,1,0,0,0,0,3
2003,2299,116,1,1,7.6,186000,0,1,0,0,0,0,1
2003,2400,101,1,1,6.8,113000,0,1,0,0,0,0,3
2003,1250,101,1,1,6.8,170000,0,1,0,0,0,0,3
2003,3150,101,1,1,6.2,90000,0,1,0,0,0,0,3
2003,1299,101,1,1,7.3,188050,0,1,0,0,0,0,1
2003,1600,116,1,1,7.6,177000,0,1,0,0,0,0,1
2003,3699,101,1,1,6.1,82000,0,1,0,0,0,0,3
2003,1150,101,1,1,7.3,153700,0,1,0,0,0,0,3
2003,1990,75,1,0,5.4,217000,0,1,0,0,0,0,1
2003,1850,116,1,0,5.5,240000,0,1,0,0,0,0,1
2003,2600,75,1,1,6.6,214000,0,1,0,0,0,0,1
2003,900,101,1,0,5.2,483000,0,1,0,0,0,0,1
2003,3500,101,1,1,6.8,140000,0,1,0,0,0,0,3
2004,1990,101,1,0,5.3,231000,1,0,0,0,0,0,1
2004,3799,136,1,0,5.6,187322,1,0,0,0,0,0,1
2004,1190,116,1,0,5.4,220000,1,0,0,0,0,0,1
2004,1150,101,1,1,6.8,206000,1,0,0,0,0,0,1
2004,3399,101,1,1,6.2,125800,1,0,0,0,0,0,3
2004,3950,101,1,1,6.6,141000,1,0,0,0,0,0,3
2004,2999,125,1,1,7.1,143000,1,0,0,0,0,0,3
2004,4350,101,0,1,6.8,138700,1,0,0,0,0,0,3
2004,1450,101,1,1,7.3,252000,1,0,0,0,0,0,1
2004,1990,101,1,1,6.9,174286,1,0,0,0,0,0,3
2004,1000,101,1,0,5.2,319540,1,0,0,0,0,0,1
2004,1690,116,1,1,6.4,230000,1,0,0,0,0,0,1
2004,2500,101,1,1,7.3,192100,1,0,0,0,0,0,1
2004,1699,101,1,1,6.8,255000,1,0,0,0,0,0,1
2004,1850,101,1,1,6.8,2060000,1,0,0,0,0,0,1
2004,2700,226,1,1,9.3,144500,1,0,0,0,0,0,3
2004,1650,101,1,1,6.8,195500,0,0,0,1,0,0,1
2004,1800,116,1,1,7.5,230000,0,0,0,1,0,0,1
2004,1300,125,1,1,7.1,147000,0,0,0,0,1,0,3
2004,2600,116,1,1,6.4,186000,0,0,0,0,1,0,1
2004,1670,101,1,1,7.3,197852,0,0,0,0,1,0,1
2004,3999,116,1,0,5.5,320599,0,0,0,0,1,0,1
2004,2399,101,0,1,8.3,164129,0,1,0,0,0,0,3
2004,1290,101,1,1,6.9,250000,0,1,0,0,0,0,1
2004,1699,101,1,1,6.8,197000,0,1,0,0,0,0,1
2004,3990,125,1,1,7.1,153000,0,1,0,0,0,0,3
2004,1200,116,1,1,7.5,191000,0,1,0,0,0,0,1
2004,1999,116,1,1,6.4,122500,0,1,0,0,0,0,3
2004,750,75,1,1,6.6,230000,0,1,0,0,0,0,1
2004,2999,101,1,1,7.3,137000,0,1,0,0,0,0,3
2004,3399,101,1,1,6.8,115000,0,1,0,0,0,0,3
2004,1470,116,1,1,7.9,204700,0,1,0,0,0,0,1
2004,3200,75,1,1,6.6,139743,0,1,0,0,0,0,3
2004,3490,75,1,1,7,109457,0,1,0,0,0,0,3
2004,800,101,1,1,6.8,160000,0,1,0,0,0,0,3
2004,350,116,1,1,7.6,194000,0,1,0,0,0,0,1
2004,5990,120,1,1,7.2,76100,0,1,0,0,0,0,2
2004,2650,101,0,1,8.4,199990,0,1,0,0,0,0,1
2004,4999,116,1,1,7.6,81000,0,1,0,0,0,0,3
2004,3999,120,1,1,7.2,152327,0,1,0,0,0,0,3
2005,4799,116,1,1,6.4,104000,1,0,0,0,0,0,3
2005,1590,116,1,1,6.4,246000,1,0,0,0,0,0,1
2005,1250,116,1,1,6.4,217000,1,0,0,0,0,0,1
2005,1599,80,1,1,6.6,156823,1,0,0,0,0,0,3
2005,2500,145,1,1,7.1,217000,1,0,0,0,0,0,1
2005,1700,116,1,1,6.6,257000,1,0,0,0,0,0,1
2005,1100,116,1,1,6.6,312000,1,0,0,0,0,0,1
2005,4000,80,1,1,6.6,95000,1,0,0,0,0,0,3
2005,2200,90,1,0,4.7,2005002,1,0,0,0,0,0,1
2005,3490,116,1,1,6.8,124990,1,0,0,0,0,0,3
2005,1200,145,1,1,7.1,251000,1,0,0,0,0,0,1
2005,3690,109,1,0,4.9,116000,1,0,0,0,0,0,3
2005,1600,116,1,1,6.4,182286,1,0,0,0,0,0,1
2005,2499,116,1,1,6.6,232000,1,0,0,0,0,0,1
2005,2600,109,1,0,4.8,220000,1,0,0,0,0,0,1
2005,1590,101,1,1,6.4,174000,1,0,0,0,0,0,3
2005,2050,101,1,1,6.4,172800,1,0,0,0,0,0,3
2005,1990,116,1,1,6.4,123848,1,0,0,0,0,0,3
2005,1600,101,1,1,6.7,198000,1,0,0,0,0,0,1
2005,3500,101,1,1,6.7,65000,1,0,0,0,0,0,2
2005,3650,101,0,1,7.7,192000,0,0,0,1,0,0,1
2005,2750,75,1,1,6.6,164000,0,0,0,1,0,0,3
2005,2600,116,1,1,6.6,206000,0,0,0,1,0,0,1
2005,2000,90,1,0,4.7,185400,0,0,0,0,1,0,1
2005,2400,101,1,1,6.4,171850,0,0,0,0,1,0,3
2005,3890,116,1,1,6.6,136000,0,0,0,0,1,0,3
2005,3700,101,0,1,7.7,150000,0,0,0,0,1,0,3
2005,1180,101,1,1,6.4,211000,0,0,0,0,1,0,1
2005,1990,150,1,0,5.3,230531,0,0,0,0,1,0,1
2005,1800,101,1,1,6.8,222000,0,0,0,0,1,0,1
2005,1799,116,1,1,6.4,289084,0,1,0,0,0,0,1
2005,1190,101,1,1,6.4,180000,0,1,0,0,0,0,1
2005,3500,101,0,1,6.7,170000,0,1,0,0,0,0,3
2005,5999,101,0,1,5.8,145000,0,1,0,0,0,0,3
2005,2000,109,1,0,4.8,160000,0,1,0,0,0,0,3
2005,3500,101,1,1,6.7,125321,0,1,0,0,0,0,3
2005,999,101,1,1,6.7,197200,0,1,0,0,0,0,1
2005,1250,101,1,1,6.4,194213,0,1,0,0,0,0,1
2005,4300,116,1,1,6.7,95000,0,1,0,0,0,0,3
2005,4800,101,0,1,7.7,108000,0,1,0,0,0,0,3
2005,1599,101,1,1,6.7,271295,0,1,0,0,0,0,1
2005,3950,101,1,1,6.4,166042,0,1,0,0,0,0,3
2005,4499,101,1,1,6.7,108000,0,1,0,0,0,0,3
2005,750,90,1,0,4.7,142000,0,1,0,0,0,0,3
2005,3990,101,1,1,6.7,158000,0,1,0,0,0,0,3
2005,1299,101,1,1,6.7,201358,0,1,0,0,0,0,1
2005,3950,109,1,0,4.8,205000,0,1,0,0,0,0,1
2005,6990,101,1,1,6.7,60000,0,1,0,0,0,0,2
2005,4190,101,0,1,8.4,118000,0,1,0,0,0,0,3
2005,2999,101,1,1,7.3,99000,0,1,0,0,0,0,3
2005,7990,101,0,1,7.4,55454,0,1,0,0,0,0,2
2005,4800,116,1,1,6.6,57980,0,1,0,0,0,0,2
2005,2750,101,1,1,6.7,150000,0,1,0,0,0,0,3
2005,1000,101,1,1,6.4,273000,0,1,0,0,0,0,1
2005,2200,116,1,1,7.5,278889,0,1,0,0,0,0,1
2005,3000,90,1,0,4.7,154000,0,1,0,0,0,0,3
2005,1795,116,1,0,5.2,229270,0,1,0,0,0,0,1
2005,1980,101,1,1,6.4,197685,0,1,0,0,0,0,1
2005,3990,101,1,1,6.9,158000,0,1,0,0,0,0,3
2005,1900,116,1,1,6.4,240472,0,1,0,0,0,0,1
2005,3700,101,1,1,6.7,173255,0,1,0,0,0,0,3
2005,4695,101,0,1,6.7,237000,0,1,0,0,0,0,1
2005,1800,101,1,1,6.4,419000,0,1,0,0,0,0,1
2005,2790,101,1,1,6.7,188100,0,1,0,0,0,0,1
2005,999,109,1,0,4.8,192000,0,1,0,0,0,0,1
2005,999,101,1,1,6.7,307000,0,1,0,0,0,0,1
2005,750,109,1,0,4.8,200000,0,1,0,0,0,0,1
2005,1999,101,1,1,6.7,151200,0,1,0,0,0,0,3
2006,1300,80,1,1,6.6,239855,1,0,0,0,0,0,1
2006,3990,116,1,1,6.8,161466,1,0,0,0,0,0,3
2006,2200,101,1,1,6.7,204865,1,0,0,0,0,0,1
2006,650,109,1,0,4.8,209000,1,0,0,0,0,0,1
2006,1999,116,1,1,6.6,190000,1,0,0,0,0,0,1
2006,1190,90,1,0,4.7,265117,1,0,0,0,0,0,1
2006,3200,80,1,1,6.6,78560,1,0,0,0,0,0,2
