"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"ford","Ford Focus","2012",12400,"Automatic","Petrol",37033
"ford","Ford Focus","2012",10990,"Automatic","Petrol",47000
"ford","Ford Focus","2013",10500,"Automatic","Petrol",114000
"ford","Ford Focus","2013",10499,"Automatic","Petrol",98000
"ford","Ford Focus","2014",13850,"Automatic","Petrol",85820
"ford","Ford Focus","2014",10500,"Automatic","Petrol",107000
"ford","Ford Focus","2015",14980,"Automatic","Petrol",55500
"ford","Ford Focus","2015",11990,"Automatic","Petrol",43000
"ford","Ford Focus","2015",15555,"Automatic","Petrol",39798
"ford","Ford Focus","2015",14950,"Automatic","Petrol",22850
"ford","Ford Focus","2015",16950,"Automatic","Petrol",65702
"ford","Ford Focus","2015",15990,"Automatic","Petrol",35920
"ford","Ford Focus","2015",11886,"Automatic","Petrol",115595
"ford","Ford Focus","2015",14500,"Automatic","Petrol",87630
"ford","Ford Focus","2015",18900,"Automatic","Petrol",57368
"ford","Ford Focus","2015",13900,"Automatic","Petrol",48500
"ford","Ford Focus","2015",16490,"Automatic","Petrol",85000
"ford","Ford Focus","2015",14999,"Automatic","Petrol",81116
"ford","Ford Focus","2015",12990,"Automatic","Petrol",126750
"ford","Ford Focus","2015",15780,"Automatic","Petrol",122000
"ford","Ford Focus","2016",16999,"Automatic","Petrol",40000
"ford","Ford Focus","2016",17499,"Automatic","Petrol",66401
"ford","Ford Focus","2016",13900,"Automatic","Petrol",19000
"ford","Ford Focus","2016",17000,"Automatic","Petrol",20800
"ford","Ford Focus","2016",12950,"Automatic","Petrol",98000
"ford","Ford Focus","2016",17890,"Automatic","Petrol",69600
"ford","Ford Focus","2016",14790,"Automatic","Petrol",92500
"ford","Ford Focus","2016",16990,"Automatic","Petrol",9599
"ford","Ford Focus","2016",14900,"Automatic","Petrol",59577
"ford","Ford Focus","2016",13500,"Automatic","Petrol",69000
"ford","Ford Focus","2016",13900,"Automatic","Petrol",105200
"ford","Ford Focus","2016",16860,"Automatic","Petrol",50988
"ford","Ford Focus","2016",17390,"Automatic","Petrol",66500
"ford","Ford Focus","2016",15799,"Automatic","Petrol",96953
"ford","Ford Focus","2016",11900,"Automatic","Petrol",95000
"ford","Ford Focus","2016",14491,"Automatic","Petrol",17687
"ford","Ford Focus","2016",16900,"Automatic","Petrol",54300
"ford","Ford Focus","2016",16000,"Automatic","Petrol",94000
"ford","Ford Focus","2016",16490,"Automatic","Petrol",48500
"ford","Ford Focus","2016",15990,"Automatic","Petrol",37500
"ford","Ford Focus","2016",12950,"Automatic","Petrol",65108
"ford","Ford Focus","2016",15990,"Automatic","Petrol",69000
"ford","Ford Focus","2016",14580,"Automatic","Petrol",54081
"ford","Ford Focus","2016",16650,"Automatic","Petrol",73100
"ford","Ford Focus","2016",16390,"Automatic","Petrol",98350
"ford","Ford Focus","2017",15950,"Automatic","Petrol",105966
"ford","Ford Focus","2017",12999,"Automatic","Petrol",38916
"ford","Ford Focus","2017",20990,"Automatic","Petrol",71525
"ford","Ford Focus","2017",16990,"Automatic","Petrol",54030
"ford","Ford Focus","2017",17900,"Automatic","Petrol",50500
"ford","Ford Focus","2017",14640,"Automatic","Petrol",50649
"ford","Ford Focus","2017",15990,"Automatic","Petrol",62000
"ford","Ford Focus","2017",20990,"Automatic","Petrol",66722
"ford","Ford Focus","2017",15450,"Automatic","Petrol",113000
"ford","Ford Focus","2017",31900,"Automatic","Petrol",109980
"ford","Ford Focus","2017",19990,"Automatic","Petrol",58000
