"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"ford","Ford Focus","2012",10590,"Manual","Diesel",118000
"ford","Ford Focus","2012",16990,"Manual","Diesel",197000
"ford","Ford Focus","2013",12399,"Manual","Diesel",288000
"ford","Ford Focus","2014",10950,"Manual","Diesel",120310
"ford","Ford Focus","2014",12175,"Manual","Diesel",101100
"ford","Ford Focus","2014",10900,"Manual","Diesel",159815
"ford","Ford Focus","2014",10999,"Manual","Diesel",159951
"ford","Ford Focus","2014",11490,"Manual","Diesel",121426
"ford","Ford Focus","2014",10499,"Manual","Diesel",127800
"ford","Ford Focus","2014",11990,"Manual","Diesel",200000
"ford","Ford Focus","2015",10950,"Manual","Diesel",164500
"ford","Ford Focus","2015",12900,"Manual","Diesel",137789
"ford","Ford Focus","2015",11900,"Manual","Diesel",104000
"ford","Ford Focus","2015",16990,"Manual","Diesel",117000
"ford","Ford Focus","2015",25999,"Manual","Diesel",126667
"ford","Ford Focus","2015",11880,"Manual","Diesel",118718
"ford","Ford Focus","2015",14950,"Manual","Diesel",65073
"ford","Ford Focus","2015",17990,"Manual","Diesel",104500
"ford","Ford Focus","2015",17950,"Manual","Diesel",104739
"ford","Ford Focus","2015",11900,"Manual","Diesel",200000
"ford","Ford Focus","2015",14490,"Manual","Diesel",130000
"ford","Ford Focus","2015",10000,"Manual","Diesel",155000
"ford","Ford Focus","2015",10800,"Manual","Diesel",139008
"ford","Ford Focus","2015",10798,"Manual","Diesel",166000
"ford","Ford Focus","2016",11699,"Manual","Diesel",99500
"ford","Ford Focus","2016",11790,"Manual","Diesel",136200
"ford","Ford Focus","2016",12990,"Manual","Diesel",60000
"ford","Ford Focus","2016",11400,"Manual","Diesel",72590
"ford","Ford Focus","2016",14960,"Manual","Diesel",123000
"ford","Ford Focus","2016",10990,"Manual","Diesel",114149
"ford","Ford Focus","2016",11890,"Manual","Diesel",115950
"ford","Ford Focus","2016",12500,"Manual","Diesel",144820
"ford","Ford Focus","2016",17900,"Manual","Diesel",10000
"ford","Ford Focus","2016",16450,"Manual","Diesel",137200
"ford","Ford Focus","2016",12800,"Manual","Diesel",104000
"ford","Ford Focus","2016",12700,"Manual","Diesel",165337
"ford","Ford Focus","2016",10990,"Manual","Diesel",120000
"ford","Ford Focus","2016",17890,"Manual","Diesel",84500
"ford","Ford Focus","2016",17470,"Manual","Diesel",128170
"ford","Ford Focus","2016",13880,"Manual","Diesel",77360
"ford","Ford Focus","2016",10700,"Manual","Diesel",146023
