"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"ford","Ford Focus","2003",22500,"Manual","Petrol",197000
"ford","Ford Focus","2006",11000,"Manual","Petrol",145000
"ford","Ford Focus","2007",11000,"Manual","Petrol",130000
"ford","Ford Focus","2009",44990,"Manual","Petrol",56906
"ford","Ford Focus","2009",44999,"Manual","Petrol",41906
"ford","Ford Focus","2009",16660,"Manual","Petrol",199406
"ford","Ford Focus","2009",14000,"Manual","Petrol",166666
"ford","Ford Focus","2010",37550,"Manual","Petrol",61707
"ford","Ford Focus","2010",33000,"Manual","Petrol",68000
"ford","Ford Focus","2010",25000,"Manual","Petrol",140000
"ford","Ford Focus","2010",25000,"Manual","Petrol",140000
"ford","Ford Focus","2010",25000,"Manual","Petrol",140000
"ford","Ford Focus","2010",11500,"Manual","Petrol",175000
"ford","Ford Focus","2010",36940,"Manual","Petrol",92500
"ford","Ford Focus","2011",11990,"Manual","Petrol",112299
"ford","Ford Focus","2011",10250,"Manual","Petrol",87744
"ford","Ford Focus","2011",10499,"Manual","Petrol",98974
"ford","Ford Focus","2011",12455,"Manual","Petrol",57000
"ford","Ford Focus","2011",10500,"Manual","Petrol",49885
"ford","Ford Focus","2012",16900,"Manual","Petrol",52000
"ford","Ford Focus","2012",10990,"Manual","Petrol",91063
"ford","Ford Focus","2012",11990,"Manual","Petrol",128500
"ford","Ford Focus","2012",11499,"Manual","Petrol",190000
"ford","Ford Focus","2012",20490,"Manual","Petrol",173000
"ford","Ford Focus","2013",15980,"Manual","Petrol",57400
"ford","Ford Focus","2013",10490,"Manual","Petrol",146100
"ford","Ford Focus","2013",16990,"Manual","Petrol",75300
"ford","Ford Focus","2013",12000,"Manual","Petrol",148000
"ford","Ford Focus","2013",23290,"Manual","Petrol",75400
"ford","Ford Focus","2013",11100,"Manual","Petrol",63104
"ford","Ford Focus","2013",10990,"Manual","Petrol",106500
"ford","Ford Focus","2013",11100,"Manual","Petrol",63104
"ford","Ford Focus","2013",12988,"Manual","Petrol",119938
"ford","Ford Focus","2013",10399,"Manual","Petrol",96933
"ford","Ford Focus","2013",27000,"Manual","Petrol",99999
"ford","Ford Focus","2013",12900,"Manual","Petrol",36714
"ford","Ford Focus","2013",12850,"Manual","Petrol",32014
"ford","Ford Focus","2013",10990,"Manual","Petrol",75414
"ford","Ford Focus","2013",10990,"Manual","Petrol",127000
"ford","Ford Focus","2013",11500,"Manual","Petrol",85000
"ford","Ford Focus","2013",12000,"Manual","Petrol",107000
"ford","Ford Focus","2013",12750,"Manual","Petrol",110000
"ford","Ford Focus","2013",15475,"Manual","Petrol",117000
"ford","Ford Focus","2013",11890,"Manual","Petrol",129873
"ford","Ford Focus","2013",11790,"Manual","Petrol",167214
"ford","Ford Focus","2013",15990,"Manual","Petrol",95716
"ford","Ford Focus","2013",10990,"Manual","Petrol",120200
"ford","Ford Focus","2013",13850,"Manual","Petrol",108000
"ford","Ford Focus","2013",13900,"Manual","Petrol",110000
"ford","Ford Focus","2013",11480,"Manual","Petrol",100000
"ford","Ford Focus","2013",11400,"Manual","Petrol",169000
"ford","Ford Focus","2014",13690,"Manual","Petrol",37194
"ford","Ford Focus","2014",11500,"Manual","Petrol",87100
"ford","Ford Focus","2014",10980,"Manual","Petrol",99190
"ford","Ford Focus","2014",11640,"Manual","Petrol",99440
"ford","Ford Focus","2014",14890,"Manual","Petrol",112899
"ford","Ford Focus","2014",16200,"Manual","Petrol",79000
"ford","Ford Focus","2014",11490,"Manual","Petrol",64352
"ford","Ford Focus","2014",10900,"Manual","Petrol",106000
"ford","Ford Focus","2014",14760,"Manual","Petrol",31606
"ford","Ford Focus","2014",12350,"Manual","Petrol",99500
"ford","Ford Focus","2014",10990,"Manual","Petrol",77263
"ford","Ford Focus","2014",13690,"Manual","Petrol",106720
"ford","Ford Focus","2014",10190,"Manual","Petrol",103740
"ford","Ford Focus","2014",10140,"Manual","Petrol",103798
"ford","Ford Focus","2014",10190,"Manual","Petrol",103798
"ford","Ford Focus","2014",13970,"Manual","Petrol",66497
"ford","Ford Focus","2014",10340,"Manual","Petrol",81571
"ford","Ford Focus","2014",12990,"Manual","Petrol",65000
"ford","Ford Focus","2014",13999,"Manual","Petrol",102510
"ford","Ford Focus","2014",14490,"Manual","Petrol",56600
"ford","Ford Focus","2014",13500,"Manual","Petrol",80000
"ford","Ford Focus","2014",14999,"Manual","Petrol",114700
"ford","Ford Focus","2014",12950,"Manual","Petrol",58500
"ford","Ford Focus","2014",10990,"Manual","Petrol",44999
"ford","Ford Focus","2014",14500,"Manual","Petrol",120050
"ford","Ford Focus","2014",12990,"Manual","Petrol",94700
"ford","Ford Focus","2014",10500,"Manual","Petrol",98131
"ford","Ford Focus","2014",11500,"Manual","Petrol",63060
"ford","Ford Focus","2014",11499,"Manual","Petrol",150000
"ford","Ford Focus","2014",11000,"Manual","Petrol",99935
"ford","Ford Focus","2014",13800,"Manual","Petrol",100105
"ford","Ford Focus","2014",12979,"Manual","Petrol",109000
"ford","Ford Focus","2014",12720,"Manual","Petrol",80289
"ford","Ford Focus","2014",13990,"Manual","Petrol",47395
"ford","Ford Focus","2014",10380,"Manual","Petrol",97200
"ford","Ford Focus","2014",38000,"Manual","Petrol",192566
"ford","Ford Focus","2014",12100,"Manual","Petrol",63700
"ford","Ford Focus","2014",11300,"Manual","Petrol",74201
"ford","Ford Focus","2014",10210,"Manual","Petrol",110343
"ford","Ford Focus","2014",12490,"Manual","Petrol",74100
"ford","Ford Focus","2014",15695,"Manual","Petrol",149970
"ford","Ford Focus","2014",11450,"Manual","Petrol",68980
"ford","Ford Focus","2014",14900,"Manual","Petrol",158100
"ford","Ford Focus","2014",11795,"Manual","Petrol",106000
"ford","Ford Focus","2014",13999,"Manual","Petrol",72800
"ford","Ford Focus","2014",10910,"Manual","Petrol",89800
"ford","Ford Focus","2014",13990,"Manual","Petrol",77960
"ford","Ford Focus","2014",10580,"Manual","Petrol",73000
"ford","Ford Focus","2014",12980,"Manual","Petrol",109600
"ford","Ford Focus","2014",12000,"Manual","Petrol",136000
"ford","Ford Focus","2014",13570,"Manual","Petrol",65204
"ford","Ford Focus","2014",14550,"Manual","Petrol",106000
"ford","Ford Focus","2014",12490,"Manual","Petrol",58300
"ford","Ford Focus","2014",16980,"Manual","Petrol",63001
"ford","Ford Focus","2014",10970,"Manual","Petrol",65204
"ford","Ford Focus","2014",10400,"Manual","Petrol",77000
"ford","Ford Focus","2014",11960,"Manual","Petrol",100100
"ford","Ford Focus","2015",14922,"Manual","Petrol",63711
"ford","Ford Focus","2015",11990,"Manual","Petrol",42546
"ford","Ford Focus","2015",11500,"Manual","Petrol",115168
"ford","Ford Focus","2015",10980,"Manual","Petrol",112000
"ford","Ford Focus","2015",15990,"Manual","Petrol",113000
"ford","Ford Focus","2015",10800,"Manual","Petrol",63105
"ford","Ford Focus","2015",10900,"Manual","Petrol",104405
"ford","Ford Focus","2015",11490,"Manual","Petrol",49000
"ford","Ford Focus","2015",10800,"Manual","Petrol",21000
"ford","Ford Focus","2015",10990,"Manual","Petrol",69989
"ford","Ford Focus","2015",11900,"Manual","Petrol",104500
"ford","Ford Focus","2015",11980,"Manual","Petrol",121513
"ford","Ford Focus","2015",20999,"Manual","Petrol",58300
"ford","Ford Focus","2015",11880,"Manual","Petrol",137000
"ford","Ford Focus","2015",11730,"Manual","Petrol",112060
"ford","Ford Focus","2015",11990,"Manual","Petrol",82000
"ford","Ford Focus","2015",22930,"Manual","Petrol",79735
"ford","Ford Focus","2015",12300,"Manual","Petrol",135250
"ford","Ford Focus","2015",33880,"Manual","Petrol",39246
"ford","Ford Focus","2015",10200,"Manual","Petrol",98000
"ford","Ford Focus","2015",19290,"Manual","Petrol",75750
"ford","Ford Focus","2015",13330,"Manual","Petrol",87608
"ford","Ford Focus","2015",19290,"Manual","Petrol",75750
"ford","Ford Focus","2015",19290,"Manual","Petrol",75750
"ford","Ford Focus","2015",19290,"Manual","Petrol",75750
"ford","Ford Focus","2015",14700,"Manual","Petrol",59830
"ford","Ford Focus","2015",11990,"Manual","Petrol",62150
"ford","Ford Focus","2015",12990,"Manual","Petrol",78350
"ford","Ford Focus","2015",11690,"Manual","Petrol",110000
"ford","Ford Focus","2015",13330,"Manual","Petrol",87608
"ford","Ford Focus","2015",11970,"Manual","Petrol",84750
"ford","Ford Focus","2015",12600,"Manual","Petrol",100002
"ford","Ford Focus","2015",10897,"Manual","Petrol",45600
"ford","Ford Focus","2015",12250,"Manual","Petrol",48350
"ford","Ford Focus","2015",16480,"Manual","Petrol",49500
"ford","Ford Focus","2015",12999,"Manual","Petrol",79646
"ford","Ford Focus","2015",13650,"Manual","Petrol",99980
"ford","Ford Focus","2015",12890,"Manual","Petrol",90000
"ford","Ford Focus","2015",15990,"Manual","Petrol",91987
"ford","Ford Focus","2015",11950,"Manual","Petrol",135428
"ford","Ford Focus","2015",11899,"Manual","Petrol",89247
"ford","Ford Focus","2015",17990,"Manual","Petrol",73500
"ford","Ford Focus","2015",12700,"Manual","Petrol",85900
"ford","Ford Focus","2015",10990,"Manual","Petrol",80409
"ford","Ford Focus","2015",12890,"Manual","Petrol",77625
"ford","Ford Focus","2015",22990,"Manual","Petrol",175000
"ford","Ford Focus","2015",15490,"Manual","Petrol",122250
"ford","Ford Focus","2015",15990,"Manual","Petrol",93070
"ford","Ford Focus","2015",17979,"Manual","Petrol",103500
"ford","Ford Focus","2015",13750,"Manual","Petrol",101000
"ford","Ford Focus","2015",13460,"Manual","Petrol",81918
"ford","Ford Focus","2015",17990,"Manual","Petrol",78707
"ford","Ford Focus","2015",14790,"Manual","Petrol",60000
"ford","Ford Focus","2015",12890,"Manual","Petrol",98225
"ford","Ford Focus","2015",11450,"Manual","Petrol",81573
"ford","Ford Focus","2015",11500,"Manual","Petrol",78446
"ford","Ford Focus","2015",12990,"Manual","Petrol",75000
"ford","Ford Focus","2015",14490,"Manual","Petrol",95450
"ford","Ford Focus","2015",10999,"Manual","Petrol",95357
"ford","Ford Focus","2015",11250,"Manual","Petrol",75000
"ford","Ford Focus","2015",10900,"Manual","Petrol",33600
"ford","Ford Focus","2015",13299,"Manual","Petrol",108000
"ford","Ford Focus","2015",10989,"Manual","Petrol",138327
