"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white"
2001,2990,145,1,1,7.5,158000,1,0,0,0,0,0
2001,2499,145,0,1,9.4,213000,1,0,0,0,0,0
2001,1000,110,1,1,7.8,202000,1,0,0,0,0,0
2001,2350,125,1,1,7.9,194000,1,0,0,0,0,0
2001,2000,125,1,1,7.9,181606,1,0,0,0,0,0
2001,1700,110,1,1,7.8,186000,1,0,0,0,0,0
2001,1590,110,1,1,8.1,252000,0,1,0,0,0,0
2001,1299,145,0,1,9.4,290000,0,1,0,0,0,0
2001,2900,145,1,1,8,150000,0,1,0,0,0,0
2001,1200,125,1,1,7.9,341000,0,1,0,0,0,0
2002,1300,145,1,1,8.1,145300,0,0,0,1,0,0
2002,1300,145,1,1,8.1,145300,0,0,0,1,0,0
2002,1149,145,1,1,8.5,249238,0,0,0,1,0,0
2002,2590,125,1,1,7.2,129998,0,0,0,1,0,0
2002,1699,131,1,0,6,299000,0,0,0,1,0,0
2002,2250,110,1,1,8.1,150000,0,1,0,0,0,0
2002,2499,125,1,1,8.3,249000,0,1,0,0,0,0
2002,3500,125,1,1,8.2,144600,0,1,0,0,0,0
2002,2000,125,1,1,8,230000,0,1,0,0,0,0
2003,2999,170,0,1,10.7,238002,0,0,0,0,0,0
2003,2499,116,0,0,7.5,129900,0,0,0,0,0,0
2003,2800,131,1,1,7.2,201000,1,0,0,0,0,0
2003,2799,125,1,1,8.2,249000,1,0,0,0,0,0
2003,2600,170,0,1,9.4,213000,1,0,0,0,0,0
2003,1800,116,1,1,7.8,255000,1,0,0,0,0,0
2003,800,131,0,0,5.8,306500,1,0,0,0,0,0
2003,1250,110,1,1,7.8,235000,0,0,0,1,0,0
2003,750,110,0,1,7.8,355000,0,0,0,1,0,0
2003,2999,131,0,0,6.2,225000,0,0,0,0,1,0
2003,2300,125,1,1,7.9,227666,0,0,0,0,1,0
2003,1250,125,1,1,7.9,252925,0,0,0,0,1,0
