"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white"
1995,4970,90,1,1,8,159243,1,0,0,0,0,0
1995,2590,90,0,1,6.8,141600,1,0,0,0,0,0
1995,8900,174,0,1,10.5,162640,1,0,0,0,0,0
1995,6399,60,1,1,6.8,52523,1,0,0,0,0,0
1995,6600,90,1,0,5,159450,0,0,1,0,0,0
1995,2799,75,1,1,7.2,99700,0,0,1,0,0,0
1995,3790,75,0,1,5.1,148300,0,0,1,0,0,0
1996,2499,75,1,1,6.5,116050,1,0,0,0,0,0
1996,1100,75,1,1,7.2,210292,1,0,0,0,0,0
1996,2990,75,0,1,6.7,139950,1,0,0,0,0,0
1996,3000,75,0,1,9.5,134000,1,0,0,0,0,0
1996,1200,75,1,1,7.2,196000,0,0,1,0,0,0
1996,6500,116,1,1,9.2,111500,0,0,1,0,0,0
1997,600,75,1,1,7.2,115000,1,0,0,0,0,0
1997,1985,75,1,1,6.4,92356,1,0,0,0,0,0
1997,3500,75,1,1,7.2,103515,1,0,0,0,0,0
1997,1000,75,1,1,7.2,234117,1,0,0,0,0,0
1997,850,75,1,1,7.2,260000,1,0,0,0,0,0
1997,2200,60,1,1,6.8,121000,1,0,0,0,0,0
1997,1000,60,1,1,6.8,276000,1,0,0,0,0,0
1997,999,75,1,1,7.2,100000,1,0,0,0,0,0
1997,40000,174,0,1,11.8,57000,1,0,0,0,0,0
1997,3000,75,1,1,6.6,76000,1,0,0,0,0,0
1998,1390,64,1,0,5.9,289066,1,0,0,0,0,0
1998,3333,101,0,1,7.6,81226,1,0,0,0,0,0
1998,2500,150,0,1,9.3,221000,1,0,0,0,0,0
1998,2750,101,0,1,7.6,233000,1,0,0,0,0,0
1998,3888,101,1,1,7.6,148262,1,0,0,0,0,0
1998,1500,75,1,1,6.8,223820,1,0,0,0,0,0
1998,1200,101,1,1,7.6,254000,1,0,0,0,0,0
1998,3100,75,1,1,6.8,99100,1,0,0,0,0,0
1998,3900,90,1,1,7.5,168700,1,0,0,0,0,0
1998,1200,101,1,1,7.6,305000,1,0,0,0,0,0
1998,3000,101,1,1,7.6,142000,1,0,0,0,0,0
1998,1250,101,1,1,7.6,301310,1,0,0,0,0,0
1998,1750,75,1,1,6.8,198121,1,0,0,0,0,0
1998,1950,101,1,1,7.6,254500,1,0,0,0,0,0
1998,2450,75,1,1,6.6,189940,1,0,0,0,0,0
1998,1490,75,1,1,6.8,122500,0,0,1,0,0,0
1998,1300,60,1,1,6.8,138413,0,0,1,0,0,0
1998,1500,75,1,1,6.6,106000,0,0,1,0,0,0
1998,2600,101,1,1,7.6,209000,0,0,1,0,0,0
1998,1480,101,0,1,7.6,164134,0,0,1,0,0,0
1998,2800,75,0,1,7.2,85000,0,0,1,0,0,0
1998,1700,75,0,1,9.5,128279,0,0,1,0,0,0
1998,2480,75,1,1,6.8,172000,0,0,0,0,1,0
1998,1150,101,1,1,7.6,283927,0,0,0,0,1,0
1998,3500,131,1,1,9.2,232000,0,0,0,0,1,0
