"year","price_in_euro","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","color_blue","color_silver","color_red","color_grey","color_black","color_white"
2007,13999,140,1,0,7.2,42000,1,0,0,0,0,0
2007,8890,150,1,1,8.4,134780,0,0,0,0,1,0
2007,7999,140,0,0,7.1,196567,0,0,0,0,1,0
2008,4500,150,1,1,8,168000,1,0,0,0,0,0
2008,9500,150,1,1,8,83000,1,0,0,0,0,0
2008,7700,170,1,1,8.9,183123,1,0,0,0,0,0
2008,8998,150,1,1,8.4,109000,1,0,0,0,0,0
2008,9499,150,1,1,8,189120,1,0,0,0,0,0
2008,7300,140,1,0,6.9,230600,1,0,0,0,0,0
2008,10890,140,0,0,7.1,219000,1,0,0,0,0,0
2008,5300,140,1,0,7.2,295630,1,0,0,0,0,0
2008,9850,150,1,1,8,197000,1,0,0,0,0,0
2008,11500,140,0,0,7.1,85300,1,0,0,0,0,0
2008,11000,170,0,0,6.3,72768,0,0,0,1,0,0
2008,7900,150,1,1,8.4,144900,0,0,0,1,0,0
2008,11999,150,1,1,8.4,90100,0,0,0,1,0,0
2008,8999,150,1,1,8.4,125000,0,0,0,1,0,0
2008,10300,150,1,1,8,93000,0,0,0,1,0,0
2008,7500,150,1,1,8,177000,0,0,0,1,0,0
2008,10900,140,1,0,6.9,168400,0,0,0,1,0,0
2008,8900,150,1,1,8.4,140711,0,0,0,1,0,0
2008,9990,140,1,0,7.2,169949,0,0,0,1,0,0
2008,8990,140,1,0,7.2,194917,0,0,0,1,0,0
2008,9990,170,1,1,8.9,142000,0,0,0,1,0,0
2008,9299,170,1,0,6.3,240000,0,0,0,1,0,0
2008,8950,140,1,0,6.9,148000,0,0,0,1,0,0
2008,7450,170,1,0,7,230000,0,0,0,0,1,0
2008,10290,140,1,0,7.2,260000,0,0,0,0,1,0
2008,9490,170,1,0,7,186544,0,0,0,0,1,0
2008,8990,150,1,1,8.4,147800,0,0,0,0,1,0
2008,9488,150,1,1,8.4,108603,0,0,0,0,1,0
2008,6700,140,1,0,6.3,197500,0,0,0,0,1,0
2008,9990,150,1,1,8.4,98000,0,0,0,0,1,0
2008,7990,200,1,1,8.9,225109,0,0,0,0,1,0
2008,10499,150,1,1,8.4,111000,0,0,0,0,1,0
2008,7899,140,1,0,6.9,188000,0,0,0,0,1,0
2008,7900,140,1,0,6.9,230520,0,0,0,0,1,0
2008,7999,170,1,0,7,214980,0,0,0,0,1,0
2008,7999,170,1,0,7,175000,0,0,0,0,1,0
2008,9000,150,1,1,8,141477,0,0,0,0,1,0
2008,9299,140,1,0,7.2,167000,0,0,0,0,1,0
2008,13490,140,1,0,7.2,71317,0,0,0,0,1,0
2008,11900,140,0,0,7.5,149214,0,0,0,0,1,0
2008,3499,150,1,1,8,171361,0,0,0,0,1,0
2008,6999,140,1,0,6.3,260247,0,0,0,0,1,0
2008,6800,140,1,0,6.9,242208,0,0,0,0,1,0
2008,7990,140,1,0,6.9,188178,0,0,0,0,1,0
2008,9999,150,1,1,8.4,147950,0,0,0,0,1,0
2008,8990,140,1,0,7.2,229000,0,0,0,0,1,0
2008,5500,200,1,1,9.9,174500,0,0,0,0,1,0
2008,8990,170,1,0,7,193000,0,0,0,0,1,0
2008,5800,140,1,0,7.2,195000,0,0,0,0,1,0
2008,6750,140,1,0,6.3,211000,0,0,0,0,1,0
2008,10490,150,1,1,8.9,90000,0,0,0,0,1,0
2008,6300,140,1,0,6.3,240000,0,1,0,0,0,0
2008,8990,140,0,0,7.5,146900,0,1,0,0,0,0
2008,7650,150,1,1,8,209000,0,1,0,0,0,0
2008,10500,140,0,0,7.1,120000,0,1,0,0,0,0
2008,7999,150,1,1,8,165000,0,1,0,0,0,0
2008,7900,140,1,0,6.3,203000,0,1,0,0,0,0
