"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"ford","Ford EcoSport",10,"11190","Manual","Petrol",89240
"ford","Ford EcoSport",10,"8450","Manual","Petrol",110000
"ford","Ford EcoSport",10,"9890","Manual","Petrol",106901
"ford","Ford EcoSport",10,"11498","Manual","Petrol",46600
"ford","Ford EcoSport",10,"10900","Manual","Petrol",79608
"ford","Ford EcoSport",10,"8390","Manual","Petrol",143000
"ford","Ford EcoSport",10,"10290","Manual","Petrol",94586
"ford","Ford EcoSport",10,"23000","Manual","Petrol",73000
"ford","Ford EcoSport",10,"15999","Manual","Petrol",63600
"ford","Ford EcoSport",10,"16500","Manual","Petrol",98509
"ford","Ford EcoSport",10,"12900","Manual","Petrol",18500
"ford","Ford EcoSport",10,"12750","Manual","Petrol",67874
"ford","Ford EcoSport",10,"11599","Manual","Diesel",58600
"ford","Ford EcoSport",10,"8800","Manual","Petrol",146196
"ford","Ford EcoSport",10,"6200","Manual","Petrol",77200
"ford","Ford EcoSport",10,"9490","Manual","Petrol",90000
"ford","Ford EcoSport",10,"12980","Manual","Petrol",51400
"ford","Ford EcoSport",9,"13990","Automatic","Petrol",36980
"ford","Ford EcoSport",9,"13199","Automatic","Petrol",64000
"ford","Ford EcoSport",9,"10990","Manual","Petrol",54000
"ford","Ford EcoSport",9,"10950","Manual","Petrol",69987
"ford","Ford EcoSport",9,"11200","Manual","Petrol",69000
"ford","Ford EcoSport",9,"7950","Manual","Diesel",192173
"ford","Ford EcoSport",9,"8800","Manual","Petrol",116850
"ford","Ford EcoSport",9,"11690","Manual","Petrol",29400
"ford","Ford EcoSport",9,"12990","Manual","Diesel",30483
"ford","Ford EcoSport",9,"13980","Manual","Petrol",77300
"ford","Ford EcoSport",9,"12490","Manual","Petrol",93880
"ford","Ford EcoSport",9,"11000","Manual","Petrol",111600
"ford","Ford EcoSport",9,"15500","Manual","Petrol",95000
"ford","Ford EcoSport",9,"7990","Manual","Petrol",97000
"ford","Ford EcoSport",9,"7999","Manual","Petrol",147000
"ford","Ford EcoSport",9,"10999","Manual","Petrol",55000
"ford","Ford EcoSport",9,"10500","Manual","Petrol",69500
"ford","Ford EcoSport",9,"10800","Manual","Petrol",81000
"ford","Ford EcoSport",9,"9900","Manual","Petrol",81000
"ford","Ford EcoSport",9,"9490","Manual","Petrol",101207
"ford","Ford EcoSport",9,"8700","Manual","Petrol",117000
"ford","Ford EcoSport",9,"12450","Manual","Petrol",81600
"ford","Ford EcoSport",9,"11950","Manual","Petrol",89730
"ford","Ford EcoSport",9,"11500","Manual","Petrol",75000
"ford","Ford EcoSport",9,"11500","Manual","Petrol",84000
"ford","Ford EcoSport",9,"12490","Manual","Petrol",42277
"ford","Ford EcoSport",9,"10990","Manual","Petrol",78394
"ford","Ford EcoSport",9,"9700","Manual","Petrol",107000
"ford","Ford EcoSport",9,"11400","Manual","Petrol",55000
"ford","Ford EcoSport",9,"12900","Manual","Petrol",53500
