"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"ford","Ford Fiesta",23,"3500","Manual","Petrol",113200
"ford","Ford Fiesta",23,"750","Manual","Petrol",121000
"ford","Ford Fiesta",23,"450","Manual","Petrol",89000
"ford","Ford Fiesta",23,"1800","Manual","Petrol",160000
"ford","Ford Fiesta",23,"2990","Manual","Petrol",62429
"ford","Ford Fiesta",22,"800","Manual","Petrol",158620
"ford","Ford Fiesta",22,"2400","Manual","Petrol",131000
"ford","Ford Fiesta",22,"2700","Manual","Petrol",85000
"ford","Ford Fiesta",22,"1200","Manual","Petrol",168000
"ford","Ford Fiesta",22,"1300","Manual","Petrol",138000
"ford","Ford Fiesta",22,"2588","Manual","Petrol",395800
"ford","Ford Fiesta",22,"1590","Manual","Petrol",193000
"ford","Ford Fiesta",22,"2222","Manual","Petrol",102900
"ford","Ford Fiesta",22,"1900","Manual","Petrol",72700
"ford","Ford Fiesta",22,"1300","Manual","Petrol",221661
"ford","Ford Fiesta",22,"1700","Manual","Petrol",89500
"ford","Ford Fiesta",22,"1995","Manual","Petrol",127000
"ford","Ford Fiesta",22,"1450","Manual","Petrol",176650
"ford","Ford Fiesta",22,"2400","Manual","Petrol",215000
"ford","Ford Fiesta",22,"1300","Manual","Petrol",101783
"ford","Ford Fiesta",22,"1750","Manual","Petrol",134000
"ford","Ford Fiesta",22,"2200","Manual","Petrol",97255
"ford","Ford Fiesta",22,"2900","Manual","Petrol",60000
"ford","Ford Fiesta",22,"1650","Manual","Petrol",165000
"ford","Ford Fiesta",22,"1990","Manual","Petrol",130000
"ford","Ford Fiesta",21,"1450","Manual","Petrol",174000
"ford","Ford Fiesta",21,"1800","Manual","Petrol",171154
"ford","Ford Fiesta",21,"1950","Manual","Petrol",265000
"ford","Ford Fiesta",21,"1770","Manual","Petrol",210000
"ford","Ford Fiesta",21,"2500","Manual","Petrol",230000
"ford","Ford Fiesta",21,"1777","Manual","Petrol",60000
"ford","Ford Fiesta",21,"2100","Manual","Petrol",94200
"ford","Ford Fiesta",21,"1100","Manual","Petrol",191000
"ford","Ford Fiesta",21,"1600","Manual","Petrol",136857
"ford","Ford Fiesta",21,"1690","Manual","Petrol",195000
"ford","Ford Fiesta",21,"1300","Manual","Petrol",200745
"ford","Ford Fiesta",21,"500","Manual","Diesel",4e+05
"ford","Ford Fiesta",21,"1500","Manual","Petrol",307275
"ford","Ford Fiesta",21,"2500","Manual","Petrol",220500
"ford","Ford Fiesta",21,"1150","Manual","Petrol",239000
"ford","Ford Fiesta",21,"2399","Manual","Petrol",151000
"ford","Ford Fiesta",21,"3799","Automatic","Petrol",138000
"ford","Ford Fiesta",21,"1390","Manual","Petrol",126000
"ford","Ford Fiesta",21,"2200","Manual","Petrol",159000
"ford","Ford Fiesta",21,"4299","Manual","Petrol",28435
"ford","Ford Fiesta",21,"1990","Manual","Petrol",140000
"ford","Ford Fiesta",21,"1500","Manual","Petrol",143550
"ford","Ford Fiesta",21,"800","Manual","Petrol",4e+05
"ford","Ford Fiesta",21,"1000","Manual","Petrol",187000
"ford","Ford Fiesta",21,"2000","Manual","Petrol",146000
"ford","Ford Fiesta",21,"1950","Manual","Petrol",135500
"ford","Ford Fiesta",21,"1450","Manual","Petrol",214000
"ford","Ford Fiesta",21,"2500","Manual","Petrol",105058
"ford","Ford Fiesta",21,"2990","Manual","Petrol",162990
"ford","Ford Fiesta",21,"1800","Manual","Petrol",168000
"ford","Ford Fiesta",21,"1400","Manual","Petrol",239000
"ford","Ford Fiesta",21,"950","Manual","Petrol",154560
"ford","Ford Fiesta",21,"599","Manual","Petrol",104295
"ford","Ford Fiesta",21,"2000","Manual","Petrol",90230
"ford","Ford Fiesta",20,"2480","Manual","Petrol",158991
"ford","Ford Fiesta",20,"1950","Manual","Petrol",133000
"ford","Ford Fiesta",20,"3300","Manual","Petrol",115000
"ford","Ford Fiesta",20,"1590","Manual","Petrol",153000
"ford","Ford Fiesta",20,"1000","Manual","Petrol",212000
"ford","Ford Fiesta",20,"1390","Manual","Petrol",156580
"ford","Ford Fiesta",20,"1100","Manual","Petrol",175393
"ford","Ford Fiesta",20,"3450","Manual","Petrol",71282
"ford","Ford Fiesta",20,"1600","Manual","Petrol",166616
"ford","Ford Fiesta",20,"1990","Manual","Petrol",189000
"ford","Ford Fiesta",20,"980","Manual","Petrol",233000
"ford","Ford Fiesta",20,"999","Manual","Petrol",295472
"ford","Ford Fiesta",20,"3990","Manual","Petrol",167000
"ford","Ford Fiesta",20,"1790","Manual","Petrol",177159
"ford","Ford Fiesta",20,"2150","Manual","Petrol",175000
"ford","Ford Fiesta",20,"1700","Manual","Petrol",146000
"ford","Ford Fiesta",20,"2000","Manual","Petrol",242000
"ford","Ford Fiesta",20,"1699","Manual","Diesel",270000
"ford","Ford Fiesta",20,"1700","Manual","Diesel",270000
"ford","Ford Fiesta",20,"1950","Manual","Petrol",205000
"ford","Ford Fiesta",20,"1700","Manual","Petrol",169000
"ford","Ford Fiesta",20,"1150","Manual","Petrol",176000
"ford","Ford Fiesta",20,"6500","Manual","Petrol",190000
"ford","Ford Fiesta",20,"2000","Manual","Petrol",155000
"ford","Ford Fiesta",20,"2300","Manual","Petrol",215000
"ford","Ford Fiesta",20,"3490","Manual","Petrol",93053
"ford","Ford Fiesta",20,"2500","Manual","Petrol",135000
"ford","Ford Fiesta",20,"1400","Manual","Petrol",238125
"ford","Ford Fiesta",20,"1799","Manual","Petrol",207000
"ford","Ford Fiesta",20,"1350","Manual","Petrol",91863
"ford","Ford Fiesta",20,"700","Manual","Petrol",225000
"ford","Ford Fiesta",20,"1250","Manual","Petrol",186000
