"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"ford","Ford Focus",23,"1500","Manual","Petrol",287000
"ford","Ford Focus",23,"1000","Manual","Petrol",160000
"ford","Ford Focus",23,"2750","Manual","Petrol",160000
"ford","Ford Focus",23,"600","Manual","Petrol",145000
"ford","Ford Focus",23,"600","Manual","Petrol",226000
"ford","Ford Focus",23,"3000","Manual","Petrol",83791
"ford","Ford Focus",23,"1900","Manual","Petrol",195000
"ford","Ford Focus",23,"799","Manual","Petrol",268607
"ford","Ford Focus",23,"750","Manual","Petrol",250000
"ford","Ford Focus",23,"1630","Manual","Petrol",103000
"ford","Ford Focus",23,"890","Manual","Petrol",227559
"ford","Ford Focus",23,"1950","Manual","Petrol",186000
"ford","Ford Focus",23,"1490","Manual","Petrol",185000
"ford","Ford Focus",23,"2900","Manual","Petrol",132000
"ford","Ford Focus",23,"1990","Manual","Petrol",218000
"ford","Ford Focus",23,"2490","Manual","Petrol",270151
"ford","Ford Focus",23,"1350","Manual","Petrol",260522
"ford","Ford Focus",23,"790","Manual","Petrol",255700
"ford","Ford Focus",23,"500","Manual","Petrol",244000
"ford","Ford Focus",22,"4850","Manual","Petrol",150000
"ford","Ford Focus",22,"2999","Manual","Petrol",127071
"ford","Ford Focus",22,"1499","Manual","Diesel",240000
"ford","Ford Focus",22,"3880","Manual","Petrol",119630
"ford","Ford Focus",22,"2790","Manual","Petrol",196900
"ford","Ford Focus",22,"1150","Manual","Petrol",257768
"ford","Ford Focus",22,"2700","Manual","Petrol",167000
"ford","Ford Focus",22,"599","Manual","Petrol",147000
"ford","Ford Focus",22,"1500","Manual","Petrol",150000
"ford","Ford Focus",22,"1700","Manual","Petrol",308500
"ford","Ford Focus",22,"1999","Manual","Diesel",235000
"ford","Ford Focus",22,"1190","Automatic","Petrol",194700
"ford","Ford Focus",22,"3333","Automatic","Petrol",195000
"ford","Ford Focus",22,"2500","Manual","Diesel",220000
"ford","Ford Focus",22,"2998","Manual","Petrol",147900
"ford","Ford Focus",22,"2999","Manual","Petrol",209441
"ford","Ford Focus",22,"1490","Manual","Petrol",147800
"ford","Ford Focus",22,"1600","Manual","Petrol",191000
"ford","Ford Focus",21,"2100","Manual","Petrol",227000
"ford","Ford Focus",21,"300","Manual","Diesel",380000
"ford","Ford Focus",21,"22500","Manual","Petrol",197000
"ford","Ford Focus",21,"1990","Manual","Petrol",152240
"ford","Ford Focus",21,"1000","Manual","Diesel",203000
"ford","Ford Focus",21,"2220","Manual","Petrol",210000
"ford","Ford Focus",21,"1800","Manual","Petrol",210000
"ford","Ford Focus",21,"2990","Automatic","Petrol",154403
"ford","Ford Focus",21,"444","Manual","Petrol",199678
"ford","Ford Focus",21,"1690","Manual","Diesel",199427
"ford","Ford Focus",21,"2490","Manual","Petrol",226608
"ford","Ford Focus",21,"1890","Manual","Petrol",187000
