"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"ford","Ford Focus","2012",10299,"Automatic","Diesel",135000
"ford","Ford Focus","2012",12999,"Automatic","Diesel",18098
"ford","Ford Focus","2013",10950,"Automatic","Diesel",113500
"ford","Ford Focus","2013",11899,"Automatic","Diesel",84000
"ford","Ford Focus","2013",12950,"Automatic","Diesel",78497
"ford","Ford Focus","2013",10990,"Automatic","Diesel",66000
"ford","Ford Focus","2014",13490,"Automatic","Diesel",76000
"ford","Ford Focus","2014",10950,"Automatic","Diesel",136000
"ford","Ford Focus","2014",10950,"Automatic","Diesel",79000
"ford","Ford Focus","2014",10900,"Automatic","Diesel",51500
"ford","Ford Focus","2015",12950,"Automatic","Diesel",49000
"ford","Ford Focus","2015",10390,"Automatic","Diesel",119960
"ford","Ford Focus","2015",10990,"Automatic","Diesel",77600
"ford","Ford Focus","2015",11285,"Automatic","Diesel",70000
"ford","Ford Focus","2015",12785,"Automatic","Diesel",53000
"ford","Ford Focus","2015",11485,"Automatic","Diesel",56000
"ford","Ford Focus","2015",14630,"Automatic","Diesel",74688
"ford","Ford Focus","2015",11580,"Automatic","Diesel",64970
"ford","Ford Focus","2015",10980,"Automatic","Diesel",90816
"ford","Ford Focus","2015",11850,"Automatic","Diesel",89000
"ford","Ford Focus","2015",16800,"Automatic","Diesel",117300
"ford","Ford Focus","2015",37200,"Automatic","Diesel",164000
"ford","Ford Focus","2015",11000,"Automatic","Diesel",159000
"ford","Ford Focus","2015",14900,"Automatic","Diesel",134800
"ford","Ford Focus","2016",11700,"Automatic","Diesel",63400
"ford","Ford Focus","2016",14000,"Automatic","Diesel",128000
"ford","Ford Focus","2016",12800,"Automatic","Diesel",73300
"ford","Ford Focus","2016",13890,"Automatic","Diesel",101000
"ford","Ford Focus","2016",18000,"Automatic","Diesel",60000
"ford","Ford Focus","2016",10500,"Automatic","Diesel",194500
"ford","Ford Focus","2016",12990,"Automatic","Diesel",128150
"ford","Ford Focus","2016",14499,"Automatic","Diesel",59999
"ford","Ford Focus","2016",17500,"Automatic","Diesel",142950
"ford","Ford Focus","2016",10300,"Automatic","Diesel",163000
"ford","Ford Focus","2016",10950,"Automatic","Diesel",157000
"ford","Ford Focus","2016",20990,"Automatic","Diesel",148000
"ford","Ford Focus","2016",15450,"Automatic","Diesel",195000
"ford","Ford Focus","2016",12890,"Automatic","Diesel",68000
"ford","Ford Focus","2016",12890,"Automatic","Diesel",77000
"ford","Ford Focus","2016",17900,"Automatic","Diesel",183900
"ford","Ford Focus","2016",13850,"Automatic","Diesel",35400
"ford","Ford Focus","2016",14990,"Automatic","Diesel",24000
"ford","Ford Focus","2016",11950,"Automatic","Diesel",136850
"ford","Ford Focus","2016",10500,"Automatic","Diesel",183000
"ford","Ford Focus","2016",10800,"Automatic","Diesel",149400
"ford","Ford Focus","2016",10490,"Automatic","Diesel",129380
"ford","Ford Focus","2016",14500,"Automatic","Diesel",93338
"ford","Ford Focus","2016",13990,"Automatic","Diesel",133498
"ford","Ford Focus","2016",12900,"Automatic","Diesel",130505
"ford","Ford Focus","2017",13395,"Automatic","Diesel",68000
"ford","Ford Focus","2017",11799,"Automatic","Diesel",129950
"ford","Ford Focus","2017",11911,"Automatic","Diesel",149996
"ford","Ford Focus","2017",19450,"Automatic","Diesel",118850
"ford","Ford Focus","2017",13999,"Automatic","Diesel",111016
"ford","Ford Focus","2017",12900,"Automatic","Diesel",133000
"ford","Ford Focus","2017",16990,"Automatic","Diesel",53500
"ford","Ford Focus","2017",12990,"Automatic","Diesel",126545
"ford","Ford Focus","2017",14900,"Automatic","Diesel",102000
"ford","Ford Focus","2017",11550,"Automatic","Diesel",132600
"ford","Ford Focus","2017",11900,"Automatic","Diesel",155000
"ford","Ford Focus","2017",14900,"Automatic","Diesel",49300
"ford","Ford Focus","2017",11980,"Automatic","Diesel",167073
"ford","Ford Focus","2017",18999,"Automatic","Diesel",143000
"ford","Ford Focus","2017",12900,"Automatic","Diesel",129511
"ford","Ford Focus","2017",12899,"Automatic","Diesel",130000
"ford","Ford Focus","2017",10990,"Automatic","Diesel",159734
"ford","Ford Focus","2017",14390,"Automatic","Diesel",64000
"ford","Ford Focus","2017",17580,"Automatic","Diesel",84645
"ford","Ford Focus","2017",12499,"Automatic","Diesel",97000
"ford","Ford Focus","2017",14200,"Automatic","Diesel",101991
"ford","Ford Focus","2017",13950,"Automatic","Diesel",77700
"ford","Ford Focus","2017",15998,"Automatic","Diesel",80000
"ford","Ford Focus","2018",14480,"Automatic","Diesel",92174
"ford","Ford Focus","2018",17490,"Automatic","Diesel",95000
"ford","Ford Focus","2018",16999,"Automatic","Diesel",144000
"ford","Ford Focus","2018",10950,"Automatic","Diesel",220000
"ford","Ford Focus","2018",21490,"Automatic","Diesel",33129
"ford","Ford Focus","2018",19999,"Automatic","Diesel",100000
"ford","Ford Focus","2018",12750,"Automatic","Diesel",168340
"ford","Ford Focus","2018",12980,"Automatic","Diesel",142879
"ford","Ford Focus","2018",11890,"Automatic","Diesel",227770
"ford","Ford Focus","2018",10900,"Automatic","Diesel",207900
"ford","Ford Focus","2018",10750,"Automatic","Diesel",183000
"ford","Ford Focus","2018",14999,"Automatic","Diesel",130000
"ford","Ford Focus","2018",18490,"Automatic","Diesel",67539
"ford","Ford Focus","2018",15490,"Automatic","Diesel",75095
"ford","Ford Focus","2018",15350,"Automatic","Diesel",81769
"ford","Ford Focus","2018",19480,"Automatic","Diesel",164513
"ford","Ford Focus","2018",28750,"Automatic","Diesel",118500
"ford","Ford Focus","2018",15490,"Automatic","Diesel",187200
"ford","Ford Focus","2018",29880,"Automatic","Diesel",79507
"ford","Ford Focus","2018",13700,"Automatic","Diesel",146000
"ford","Ford Focus","2018",16570,"Automatic","Diesel",67029
"ford","Ford Focus","2018",24610,"Automatic","Diesel",63670
"ford","Ford Focus","2018",21999,"Automatic","Diesel",194586
"ford","Ford Focus","2018",14999,"Automatic","Diesel",101900
"ford","Ford Focus","2018",19600,"Automatic","Diesel",106500
"ford","Ford Focus","2018",17440,"Automatic","Diesel",49954
"ford","Ford Focus","2018",11999,"Automatic","Diesel",153944
"ford","Ford Focus","2018",14450,"Automatic","Diesel",97250
"ford","Ford Focus","2018",14950,"Automatic","Diesel",62000
"ford","Ford Focus","2018",11990,"Automatic","Diesel",133178
"ford","Ford Focus","2018",10790,"Automatic","Diesel",189140
"ford","Ford Focus","2018",12980,"Automatic","Diesel",160053
"ford","Ford Focus","2018",17380,"Automatic","Diesel",82000
"ford","Ford Focus","2018",17499,"Automatic","Diesel",77000
"ford","Ford Focus","2018",49800,"Automatic","Diesel",83877
"ford","Ford Focus","2018",15900,"Automatic","Diesel",84000
"ford","Ford Focus","2018",12880,"Automatic","Diesel",106510
"ford","Ford Focus","2018",12899,"Automatic","Diesel",129000
"ford","Ford Focus","2018",13900,"Automatic","Diesel",131000
"ford","Ford Focus","2018",12990,"Automatic","Diesel",82000
"ford","Ford Focus","2018",13890,"Automatic","Diesel",85000
"ford","Ford Focus","2018",14590,"Automatic","Diesel",59260
"ford","Ford Focus","2018",15940,"Automatic","Diesel",93730
"ford","Ford Focus","2018",11990,"Automatic","Diesel",132723
"ford","Ford Focus","2018",13990,"Automatic","Diesel",109522
"ford","Ford Focus","2018",10380,"Automatic","Diesel",139422
"ford","Ford Focus","2018",17990,"Automatic","Diesel",77000
"ford","Ford Focus","2018",19900,"Automatic","Diesel",98500
"ford","Ford Focus","2018",15900,"Automatic","Diesel",134500
"ford","Ford Focus","2018",11300,"Automatic","Diesel",178000
"ford","Ford Focus","2018",11290,"Automatic","Diesel",148736
"ford","Ford Focus","2018",20990,"Automatic","Diesel",28524
"ford","Ford Focus","2018",13995,"Automatic","Diesel",133000
