"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"ford","Ford Kuga",16,"9900","Manual","Diesel",105270
"ford","Ford Kuga",16,"8985","Manual","Diesel",139961
"ford","Ford Kuga",16,"8299","Manual","Diesel",93400
"ford","Ford Kuga",16,"4900","Manual","Diesel",307000
"ford","Ford Kuga",16,"8000","Manual","Diesel",144300
"ford","Ford Kuga",16,"6990","Manual","Diesel",219368
"ford","Ford Kuga",16,"8990","Manual","Diesel",133636
"ford","Ford Kuga",16,"7990","Manual","Diesel",194800
"ford","Ford Kuga",16,"6990","Manual","Diesel",215000
"ford","Ford Kuga",16,"7250","Manual","Diesel",233000
"ford","Ford Kuga",16,"7490","Manual","Diesel",253000
"ford","Ford Kuga",16,"8000","Manual","Petrol",246000
"ford","Ford Kuga",15,"8700","Manual","Diesel",123000
"ford","Ford Kuga",15,"7850","Manual","Diesel",176000
"ford","Ford Kuga",15,"9799","Manual","Diesel",220500
"ford","Ford Kuga",15,"7980","Manual","Diesel",249048
"ford","Ford Kuga",15,"10990","Automatic","Petrol",151097
"ford","Ford Kuga",15,"7950","Manual","Diesel",280222
"ford","Ford Kuga",15,"5990","Manual","Petrol",109000
"ford","Ford Kuga",15,"3980","Manual","Petrol",238809
"ford","Ford Kuga",15,"6785","Manual","Diesel",174089
"ford","Ford Kuga",15,"11890","Automatic","Petrol",150110
"ford","Ford Kuga",15,"7890","Manual","Diesel",190000
"ford","Ford Kuga",15,"8800","Manual","Diesel",152070
"ford","Ford Kuga",15,"6850","Manual","Diesel",224921
"ford","Ford Kuga",15,"7900","Manual","Diesel",180000
"ford","Ford Kuga",15,"7700","Manual","Diesel",182000
"ford","Ford Kuga",15,"8800","Manual","Diesel",151689
"ford","Ford Kuga",15,"6990","Manual","Diesel",210000
"ford","Ford Kuga",15,"12500","Automatic","Petrol",186000
"ford","Ford Kuga",15,"6700","Manual","Diesel",146523
"ford","Ford Kuga",14,"8650","Manual","Diesel",135217
"ford","Ford Kuga",14,"9000","Manual","Diesel",137650
"ford","Ford Kuga",14,"8999","Manual","Diesel",125606
"ford","Ford Kuga",14,"9750","Manual","Diesel",125000
"ford","Ford Kuga",14,"7990","Manual","Diesel",214000
"ford","Ford Kuga",14,"6900","Manual","Diesel",247207
"ford","Ford Kuga",14,"9000","Manual","Diesel",137650
"ford","Ford Kuga",14,"9300","Manual","Diesel",168000
"ford","Ford Kuga",14,"8690","Manual","Diesel",148000
"ford","Ford Kuga",14,"9800","Manual","Diesel",190401
"ford","Ford Kuga",14,"6850","Automatic","Diesel",264627
"ford","Ford Kuga",14,"7990","Manual","Diesel",205941
"ford","Ford Kuga",14,"10950","Manual","Diesel",92900
"ford","Ford Kuga",14,"5999","Manual","Diesel",2e+05
"ford","Ford Kuga",14,"6500","Manual","Diesel",207000
"ford","Ford Kuga",14,"11999","Manual","Diesel",1e+05
"ford","Ford Kuga",14,"10450","Manual","Diesel",149300
"ford","Ford Kuga",14,"8500","Manual","Diesel",157000
"ford","Ford Kuga",14,"6290","Manual","Diesel",254000
"ford","Ford Kuga",14,"9849","Manual","Diesel",137000
"ford","Ford Kuga",14,"7990","Manual","Diesel",202000
"ford","Ford Kuga",14,"9350","Automatic","Diesel",190000
"ford","Ford Kuga",14,"10000","Manual","Diesel",219000
"ford","Ford Kuga",14,"7800","Manual","Diesel",195000
"ford","Ford Kuga",14,"8400","Manual","Diesel",180000
"ford","Ford Kuga",14,"7800","Manual","Diesel",195000
"ford","Ford Kuga",14,"6499","Manual","Diesel",176950
"ford","Ford Kuga",14,"8999","Manual","Diesel",162580
"ford","Ford Kuga",14,"8990","Manual","Diesel",174000
"ford","Ford Kuga",14,"11900","Automatic","Petrol",170000
"ford","Ford Kuga",14,"12990","Automatic","Diesel",126478
"ford","Ford Kuga",14,"7290","Manual","Diesel",214308
"ford","Ford Kuga",14,"9000","Manual","Diesel",178000
"ford","Ford Kuga",13,"9990","Manual","Diesel",172000
"ford","Ford Kuga",13,"10000","Automatic","Diesel",133200
"ford","Ford Kuga",13,"9990","Automatic","Diesel",135000
"ford","Ford Kuga",13,"13990","Automatic","Diesel",94000
"ford","Ford Kuga",13,"10900","Automatic","Diesel",139000
"ford","Ford Kuga",13,"10500","Manual","Diesel",107750
"ford","Ford Kuga",13,"8990","Automatic","Diesel",167347
"ford","Ford Kuga",13,"10990","Manual","Diesel",157000
"ford","Ford Kuga",13,"10990","Automatic","Diesel",153000
"ford","Ford Kuga",13,"9000","Manual","Diesel",165000
"ford","Ford Kuga",13,"10999","Automatic","Diesel",143136
"ford","Ford Kuga",13,"7900","Automatic","Diesel",241800
"ford","Ford Kuga",13,"9500","Manual","Diesel",199999
"ford","Ford Kuga",13,"7999","Manual","Diesel",226000
"ford","Ford Kuga",13,"9500","Automatic","Diesel",207563
"ford","Ford Kuga",13,"9999","Manual","Diesel",165000
"ford","Ford Kuga",13,"9900","Manual","Diesel",159950
"ford","Ford Kuga",13,"5299","Automatic","Diesel",140000
"ford","Ford Kuga",13,"8490","Manual","Diesel",204500
"ford","Ford Kuga",13,"12999","Manual","Diesel",109600
"ford","Ford Kuga",13,"9450","Manual","Diesel",148000
"ford","Ford Kuga",13,"7900","Manual","Diesel",220000
"ford","Ford Kuga",13,"8999","Automatic","Diesel",150000
"ford","Ford Kuga",13,"14940","Manual","Diesel",53500
"ford","Ford Kuga",13,"8888","Manual","Diesel",178500
"ford","Ford Kuga",13,"9800","Automatic","Diesel",216888
"ford","Ford Kuga",13,"10980","Manual","Diesel",159416
"ford","Ford Kuga",13,"7999","Automatic","Diesel",250000
"ford","Ford Kuga",13,"7498","Automatic","Diesel",244500
"ford","Ford Kuga",13,"9200","Manual","Petrol",152588
"ford","Ford Kuga",13,"10500","Automatic","Diesel",155000
"ford","Ford Kuga",13,"8999","Automatic","Diesel",220000
"ford","Ford Kuga",13,"8950","Automatic","Diesel",181030
"ford","Ford Kuga",13,"7990","Automatic","Diesel",270000
"ford","Ford Kuga",13,"10490","Automatic","Diesel",239500
"ford","Ford Kuga",12,"6999","Automatic","Diesel",236728
"ford","Ford Kuga",12,"9990","Manual","Diesel",143500
"ford","Ford Kuga",12,"14800","Automatic","Diesel",62000
"ford","Ford Kuga",12,"10400","Manual","Diesel",149000
"ford","Ford Kuga",12,"8500","Automatic","Diesel",221000
"ford","Ford Kuga",12,"8250","Manual","Diesel",179000
"ford","Ford Kuga",12,"8930","Manual","Diesel",167000
"ford","Ford Kuga",12,"11990","Manual","Diesel",128794
"ford","Ford Kuga",12,"11990","Manual","Diesel",128794
"ford","Ford Kuga",12,"10500","Manual","Diesel",73500
"ford","Ford Kuga",12,"10599","Manual","Diesel",148000
"ford","Ford Kuga",12,"31000","Manual","Diesel",179531
"ford","Ford Kuga",12,"10999","Manual","Diesel",123906
"ford","Ford Kuga",12,"9000","Manual","Diesel",120000
"ford","Ford Kuga",12,"7249","Manual","Diesel",199853
"ford","Ford Kuga",12,"10500","Manual","Diesel",163000
"ford","Ford Kuga",12,"7500","Manual","Diesel",188967
"ford","Ford Kuga",12,"9990","Automatic","Diesel",180211
"ford","Ford Kuga",12,"9300","Manual","Diesel",139000
"ford","Ford Kuga",12,"9900","Manual","Diesel",144310
"ford","Ford Kuga",12,"10900","Manual","Diesel",148190
"ford","Ford Kuga",12,"13000","Automatic","Diesel",107000
"ford","Ford Kuga",12,"13950","Automatic","Diesel",84664
"ford","Ford Kuga",12,"7900","Manual","Diesel",196000
"ford","Ford Kuga",12,"14699","Automatic","Diesel",99992
"ford","Ford Kuga",12,"8850","Manual","Diesel",192300
"ford","Ford Kuga",12,"11550","Manual","Diesel",215253
"ford","Ford Kuga",12,"8990","Manual","Diesel",230690
"ford","Ford Kuga",12,"7990","Manual","Diesel",240000
"ford","Ford Kuga",11,"13900","Manual","Petrol",57000
"ford","Ford Kuga",11,"12000","Manual","Petrol",109866
"ford","Ford Kuga",11,"11900","Manual","Diesel",196000
"ford","Ford Kuga",11,"14800","Automatic","Petrol",129000
"ford","Ford Kuga",11,"9650","Automatic","Diesel",2e+05
"ford","Ford Kuga",11,"13999","Manual","Petrol",152540
"ford","Ford Kuga",11,"15750","Automatic","Petrol",95500
"ford","Ford Kuga",11,"12650","Automatic","Diesel",158000
"ford","Ford Kuga",11,"9999","Manual","Petrol",120000
"ford","Ford Kuga",11,"17700","Automatic","Petrol",23000
"ford","Ford Kuga",11,"13799","Manual","Diesel",95173
"ford","Ford Kuga",11,"12000","Manual","Diesel",120000
"ford","Ford Kuga",11,"11990","Manual","Diesel",133193
"ford","Ford Kuga",11,"9950","Manual","Diesel",197650
"ford","Ford Kuga",11,"4950","Manual","Diesel",215000
"ford","Ford Kuga",11,"13300","Manual","Diesel",108500
"ford","Ford Kuga",11,"11950","Automatic","Petrol",191000
"ford","Ford Kuga",11,"13690","Manual","Diesel",109850
"ford","Ford Kuga",11,"10500","Manual","Diesel",186000
"ford","Ford Kuga",11,"9490","Manual","Diesel",172475
"ford","Ford Kuga",11,"17440","Automatic","Petrol",55812
"ford","Ford Kuga",11,"10500","Manual","Petrol",147000
"ford","Ford Kuga",11,"7800","Automatic","Diesel",3e+05
"ford","Ford Kuga",11,"13990","Automatic","Petrol",118900
"ford","Ford Kuga",11,"14500","Automatic","Petrol",181024
"ford","Ford Kuga",11,"11450","Manual","Diesel",132700
"ford","Ford Kuga",11,"8499","Manual","Petrol",134017
"ford","Ford Kuga",11,"12590","Manual","Petrol",121221
"ford","Ford Kuga",11,"11190","Manual","Diesel",156000
"ford","Ford Kuga",11,"11999","Manual","Petrol",133000
"ford","Ford Kuga",11,"10000","Automatic","Diesel",216000
"ford","Ford Kuga",11,"7500","Automatic","Diesel",220000
