"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"ford","Ford Mondeo",23,"2990","Manual","Petrol",158000
"ford","Ford Mondeo",23,"2499","Automatic","Petrol",213000
"ford","Ford Mondeo",23,"1000","Manual","Petrol",202000
"ford","Ford Mondeo",23,"2350","Manual","Petrol",194000
"ford","Ford Mondeo",23,"2000","Manual","Petrol",181606
"ford","Ford Mondeo",23,"1700","Manual","Petrol",186000
"ford","Ford Mondeo",23,"1590","Manual","Petrol",252000
"ford","Ford Mondeo",23,"1299","Automatic","Petrol",290000
"ford","Ford Mondeo",23,"2900","Manual","Petrol",150000
"ford","Ford Mondeo",23,"1200","Manual","Petrol",341000
"ford","Ford Mondeo",22,"1300","Manual","Petrol",145300
"ford","Ford Mondeo",22,"1300","Manual","Petrol",145300
"ford","Ford Mondeo",22,"6950","Manual","Petrol",148450
"ford","Ford Mondeo",22,"1149","Manual","Petrol",249238
"ford","Ford Mondeo",22,"2590","Manual","Petrol",129998
"ford","Ford Mondeo",22,"1699","Manual","Diesel",299000
"ford","Ford Mondeo",22,"2250","Manual","Petrol",150000
"ford","Ford Mondeo",22,"2499","Manual","Petrol",249000
"ford","Ford Mondeo",22,"1790","Manual","Petrol",204300
"ford","Ford Mondeo",22,"3500","Manual","Petrol",144600
"ford","Ford Mondeo",22,"2000","Manual","Petrol",230000
"ford","Ford Mondeo",21,"2999","Automatic","Petrol",238002
"ford","Ford Mondeo",21,"2499","Automatic","Diesel",129900
"ford","Ford Mondeo",21,"2800","Manual","Petrol",201000
"ford","Ford Mondeo",21,"2799","Manual","Petrol",249000
"ford","Ford Mondeo",21,"2600","Automatic","Petrol",213000
"ford","Ford Mondeo",21,"1800","Manual","Petrol",255000
"ford","Ford Mondeo",21,"800","Automatic","Diesel",306500
"ford","Ford Mondeo",21,"1250","Manual","Petrol",235000
"ford","Ford Mondeo",21,"750","Automatic","Petrol",355000
"ford","Ford Mondeo",21,"2999","Automatic","Diesel",225000
"ford","Ford Mondeo",21,"2300","Manual","Petrol",227666
"ford","Ford Mondeo",21,"1250","Manual","Petrol",252925
"ford","Ford Mondeo",21,"3500","Manual","Petrol",229174
"ford","Ford Mondeo",21,"2900","Manual","Diesel",240000
"ford","Ford Mondeo",21,"1050","Manual","Petrol",231000
"ford","Ford Mondeo",21,"2290","Manual","Petrol",165000
"ford","Ford Mondeo",21,"2200","Manual","Petrol",165515
"ford","Ford Mondeo",21,"3200","Manual","Petrol",162000
"ford","Ford Mondeo",21,"2000","Manual","Diesel",362000
"ford","Ford Mondeo",21,"2800","Manual","Petrol",230000
"ford","Ford Mondeo",21,"1200","Automatic","Diesel",261400
"ford","Ford Mondeo",20,"1700","Manual","Petrol",234200
"ford","Ford Mondeo",20,"3400","Manual","Diesel",412000
"ford","Ford Mondeo",20,"4490","Manual","Petrol",126000
"ford","Ford Mondeo",20,"3499","Automatic","Petrol",198000
"ford","Ford Mondeo",20,"2799","Manual","Petrol",163000
"ford","Ford Mondeo",20,"4990","Manual","Petrol",126200
"ford","Ford Mondeo",20,"1790","Manual","Petrol",242000
"ford","Ford Mondeo",20,"1800","Manual","Diesel",448000
"ford","Ford Mondeo",20,"3500","Manual","Diesel",216000
"ford","Ford Mondeo",19,"799","Manual","Diesel",295000
"ford","Ford Mondeo",19,"2150","Manual","Diesel",212000
"ford","Ford Mondeo",19,"799","Manual","Petrol",191000
"ford","Ford Mondeo",19,"700","Manual","Petrol",192300
"ford","Ford Mondeo",19,"1500","Manual","Petrol",320000
"ford","Ford Mondeo",19,"700","Manual","Diesel",225000
"ford","Ford Mondeo",19,"1150","Manual","Petrol",176840
"ford","Ford Mondeo",19,"4499","Automatic","Petrol",159674
"ford","Ford Mondeo",19,"1200","Automatic","Diesel",343000
"ford","Ford Mondeo",19,"4400","Manual","Petrol",102231
"ford","Ford Mondeo",19,"3000","Manual","Petrol",172000
"ford","Ford Mondeo",19,"1000","Manual","Diesel",257170
"ford","Ford Mondeo",19,"3590","Automatic","Diesel",163000
"ford","Ford Mondeo",19,"1000","Automatic","Diesel",209000
"ford","Ford Mondeo",19,"4280","Manual","Diesel",149000
"ford","Ford Mondeo",19,"1700","Automatic","Diesel",214000
"ford","Ford Mondeo",19,"800","Manual","Diesel",324038
"ford","Ford Mondeo",19,"2100","Manual","Petrol",221876
"ford","Ford Mondeo",19,"3790","Manual","Petrol",146410
"ford","Ford Mondeo",19,"2600","Manual","Petrol",168350
