"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"kia","Kia Rio","2000","1950","Manual","Petrol",102400
"kia","Kia Rio","2009","2699","Manual","Petrol",97000
"kia","Kia Rio","2009","2800","Manual","Petrol",214000
"kia","Kia Rio","2010","4000","Manual","Petrol",129000
"kia","Kia Rio","2011","3950","Manual","Petrol",120203
"kia","Kia Rio","2011","3590","Manual","Petrol",240000
"kia","Kia Rio","2011","4999","Manual","Petrol",146253
"kia","Kia Rio","2011","6350","Manual","Petrol",119860
"kia","Kia Rio","2012","10999","Manual","Petrol",78000
"kia","Kia Rio","2012","11200","Manual","Petrol",60500
"kia","Kia Rio","2012","4999","Manual","Diesel",110000
"kia","Kia Rio","2012","6500","Manual","Petrol",98000
"kia","Kia Rio","2012","6800","Manual","Petrol",82700
"kia","Kia Rio","2012","8200","Manual","Petrol",45000
"kia","Kia Rio","2012","6490","Manual","Diesel",123000
"kia","Kia Rio","2012","7600","Manual","Diesel",119000
"kia","Kia Rio","2012","6450","Manual","Petrol",113400
"kia","Kia Rio","2012","8990","Automatic","Petrol",99000
"kia","Kia Rio","2012","7999","Manual","Diesel",113429
"kia","Kia Rio","2012","3980","Manual","Diesel",172960
"kia","Kia Rio","2012","4440","Manual","Diesel",192000
"kia","Kia Rio","2013","6490","Manual","Petrol",118810
"kia","Kia Rio","2013","5700","Manual","Petrol",170000
"kia","Kia Rio","2013","6900","Manual","Petrol",73000
"kia","Kia Rio","2013","8380","Manual","Petrol",60000
"kia","Kia Rio","2013","6990","Manual","Petrol",90500
"kia","Kia Rio","2013","5999","Manual","Diesel",136277
"kia","Kia Rio","2013","7590","Manual","Petrol",103956
"kia","Kia Rio","2013","8755","Manual","Petrol",38150
"kia","Kia Rio","2013","6580","Manual","Petrol",156000
"kia","Kia Rio","2013","6499","Manual","Petrol",111237
"kia","Kia Rio","2013","7865","Manual","Petrol",85800
"kia","Kia Rio","2013","3999","Manual","Diesel",286500
"kia","Kia Rio","2013","8490","Manual","Petrol",95642
"kia","Kia Rio","2013","4500","Manual","Diesel",250000
"kia","Kia Rio","2013","7990","Manual","Petrol",88000
"kia","Kia Rio","2013","4700","Manual","Petrol",159500
"kia","Kia Rio","2013","12980","Automatic","Petrol",14498
"kia","Kia Rio","2013","7990","Manual","Petrol",88000
"kia","Kia Rio","2014","9000","Manual","Petrol",85000
"kia","Kia Rio","2014","11450","Manual","Petrol",37400
"kia","Kia Rio","2014","11450","Manual","Petrol",37400
"kia","Kia Rio","2014","9900","Manual","Diesel",65740
"kia","Kia Rio","2014","7400","Manual","Diesel",112099
"kia","Kia Rio","2014","10990","Manual","Diesel",47000
"kia","Kia Rio","2014","9900","Manual","Petrol",104000
"kia","Kia Rio","2014","6490","Manual","Petrol",132000
"kia","Kia Rio","2014","5980","Manual","Petrol",165183
"kia","Kia Rio","2014","8999","Manual","Petrol",85500
"kia","Kia Rio","2014","7500","Manual","Petrol",78892
"kia","Kia Rio","2014","8750","Manual","Petrol",52000
"kia","Kia Rio","2014","8800","Manual","Petrol",52800
"kia","Kia Rio","2014","10950","Manual","Diesel",59100
"kia","Kia Rio","2014","6990","Manual","Petrol",98700
"kia","Kia Rio","2014","5999","Manual","Petrol",123998
"kia","Kia Rio","2014","5999","Manual","Petrol",154999
"kia","Kia Rio","2014","6200","Manual","Petrol",147000
"kia","Kia Rio","2015","10200","Manual","Petrol",59800
"kia","Kia Rio","2015","9350","Manual","Petrol",98900
"kia","Kia Rio","2015","6305","Manual","Diesel",187000
"kia","Kia Rio","2015","8450","Manual","Petrol",78000
"kia","Kia Rio","2015","12990","Manual","Petrol",31802
"kia","Kia Rio","2015","13990","Automatic","Petrol",40000
"kia","Kia Rio","2015","10980","Manual","Petrol",80198
"kia","Kia Rio","2015","9990","Manual","Petrol",93775
"kia","Kia Rio","2015","8990","Manual","Petrol",66000
"kia","Kia Rio","2015","7490","Manual","Petrol",144000
"kia","Kia Rio","2015","8500","Manual","Petrol",60000
"kia","Kia Rio","2015","6200","Manual","Petrol",192800
"kia","Kia Rio","2015","7599","Manual","Petrol",113850
"kia","Kia Rio","2015","8000","Manual","Petrol",130000
"kia","Kia Rio","2015","13000","Automatic","Petrol",49000
"kia","Kia Rio","2015","9200","Automatic","Petrol",71104
"kia","Kia Rio","2015","10667","Manual","Petrol",97000
"kia","Kia Rio","2015","8499","Manual","Petrol",63184
"kia","Kia Rio","2016","11990","Manual","Petrol",92187
"kia","Kia Rio","2016","9050","Manual","Petrol",69000
"kia","Kia Rio","2016","10990","Manual","Petrol",15806
"kia","Kia Rio","2016","12490","Manual","Petrol",39770
"kia","Kia Rio","2016","13980","Automatic","Petrol",110000
"kia","Kia Rio","2016","9900","Manual","Petrol",76500
"kia","Kia Rio","2016","8450","Manual","Petrol",136621
"kia","Kia Rio","2016","10998","Manual","Petrol",92000
"kia","Kia Rio","2016","10200","Manual","Petrol",62000
"kia","Kia Rio","2016","9870","Manual","Petrol",87000
"kia","Kia Rio","2016","21999","Manual","Petrol",64931
"kia","Kia Rio","2016","9780","Manual","Petrol",121600
"kia","Kia Rio","2016","9199","Manual","Petrol",48600
"kia","Kia Rio","2016","9199","Manual","Petrol",48600
"kia","Kia Rio","2016","10480","Manual","Petrol",31675
"kia","Kia Rio","2016","9950","Manual","Petrol",79000
"kia","Kia Rio","2016","7700","Manual","Petrol",87000
"kia","Kia Rio","2016","8999","Manual","Petrol",75000
"kia","Kia Rio","2016","9990","Manual","Petrol",114567
"kia","Kia Rio","2016","9410","Manual","Petrol",73000
"kia","Kia Rio","2016","9690","Manual","Petrol",96500
"kia","Kia Rio","2016","13500","Automatic","Petrol",76000
"kia","Kia Rio","2016","8990","Manual","Diesel",95000
"kia","Kia Rio","2017","12990","Manual","Petrol",47462
"kia","Kia Rio","2017","12990","Manual","Petrol",47462
"kia","Kia Rio","2017","13410","Manual","Petrol",62000
"kia","Kia Rio","2017","7999","Manual","Petrol",143540
"kia","Kia Rio","2017","13790","Manual","Petrol",75000
"kia","Kia Rio","2017","13790","Manual","Petrol",75000
"kia","Kia Rio","2017","10900","Manual","Petrol",74900
"kia","Kia Rio","2017","12235","Manual","Petrol",64877
"kia","Kia Rio","2017","10550","Manual","Petrol",74000
"kia","Kia Rio","2017","14990","Manual","Petrol",28903
"kia","Kia Rio","2017","22390","Automatic","Petrol",80000
"kia","Kia Rio","2017","15490","Manual","Petrol",86500
"kia","Kia Rio","2017","20288","Manual","Petrol",17000
"kia","Kia Rio","2017","18950","Manual","Petrol",64000
"kia","Kia Rio","2017","17999","Manual","Petrol",69000
"kia","Kia Rio","2017","11200","Manual","Diesel",97855
"kia","Kia Rio","2017","14271","Manual","Petrol",63780
"kia","Kia Rio","2017","15930","Automatic","Petrol",50192
"kia","Kia Rio","2017","14490","Manual","Petrol",68910
"kia","Kia Rio","2017","14990","Manual","Petrol",57861
"kia","Kia Rio","2017","17870","Manual","Petrol",31607
"kia","Kia Rio","2017","13489","Manual","Petrol",40000
"kia","Kia Rio","2017","8990","Manual","Petrol",99911
"kia","Kia Rio","2017","28390","Manual","Petrol",47000
"kia","Kia Rio","2017","20480","Manual","Petrol",65120
"kia","Kia Rio","2017","21435","Manual","Petrol",85000
"kia","Kia Rio","2017","10979","Manual","Petrol",62872
"kia","Kia Rio","2017","19500","Manual","Petrol",107283
"kia","Kia Rio","2017","13999","Manual","Petrol",85000
"kia","Kia Rio","2017","14444","Automatic","Petrol",78850
"kia","Kia Rio","2017","13500","Manual","Petrol",97678
"kia","Kia Rio","2017","16500","Manual","Petrol",33000
"kia","Kia Rio","2017","16990","Automatic","Petrol",93782
"kia","Kia Rio","2017","12900","Manual","Petrol",64700
"kia","Kia Rio","2017","11900","Manual","Petrol",23800
"kia","Kia Rio","2017","10700","Manual","Petrol",50439
