"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"toyota","Toyota Auris",17,"2799","Manual","Diesel",191581
"toyota","Toyota Auris",17,"3799","Manual","Diesel",128170
"toyota","Toyota Auris",17,"2750","Manual","Diesel",207000
"toyota","Toyota Auris",17,"3500","Manual","Diesel",2e+05
"toyota","Toyota Auris",17,"2999","Manual","Diesel",293000
"toyota","Toyota Auris",17,"13999","Manual","Petrol",57540
"toyota","Toyota Auris",16,"3500","Manual","Diesel",195000
"toyota","Toyota Auris",16,"5499","Manual","Diesel",179100
"toyota","Toyota Auris",16,"5000","Manual","Diesel",230000
"toyota","Toyota Auris",16,"3490","Manual","Petrol",194000
"toyota","Toyota Auris",16,"4790","Manual","Petrol",143000
"toyota","Toyota Auris",16,"4550","Manual","Petrol",135998
"toyota","Toyota Auris",16,"5750","Manual","Petrol",120000
"toyota","Toyota Auris",16,"6299","Manual","Petrol",88000
"toyota","Toyota Auris",16,"5990","Manual","Petrol",129000
"toyota","Toyota Auris",15,"3600","Manual","Petrol",356000
"toyota","Toyota Auris",15,"6450","Manual","Petrol",124000
"toyota","Toyota Auris",15,"8000","Manual","Petrol",37600
"toyota","Toyota Auris",15,"4590","Manual","Petrol",177000
"toyota","Toyota Auris",15,"4500","Manual","Petrol",193696
"toyota","Toyota Auris",15,"6690","Manual","Petrol",103000
"toyota","Toyota Auris",15,"4700","Manual","Petrol",74000
"toyota","Toyota Auris",15,"7490","Automatic","Petrol",108700
"toyota","Toyota Auris",15,"5990","Manual","Petrol",65000
"toyota","Toyota Auris",15,"4290","Manual","Petrol",199000
"toyota","Toyota Auris",15,"3890","Manual","Petrol",102000
"toyota","Toyota Auris",15,"8500","Automatic","Petrol",55500
"toyota","Toyota Auris",15,"6990","Manual","Petrol",43000
"toyota","Toyota Auris",15,"5499","Manual","Petrol",93000
"toyota","Toyota Auris",15,"3000","Manual","Diesel",220000
"toyota","Toyota Auris",15,"2999","Manual","Diesel",337661
"toyota","Toyota Auris",15,"5999","Automatic","Diesel",1e+05
"toyota","Toyota Auris",15,"8980","Manual","Petrol",48800
"toyota","Toyota Auris",14,"3990","Manual","Petrol",141420
"toyota","Toyota Auris",14,"7970","Manual","Petrol",51100
"toyota","Toyota Auris",14,"7990","Manual","Petrol",103000
"toyota","Toyota Auris",14,"7900","Manual","Petrol",89000
"toyota","Toyota Auris",14,"5870","Manual","Petrol",109000
"toyota","Toyota Auris",14,"9500","Automatic","Petrol",168930
"toyota","Toyota Auris",14,"10980","Automatic","Petrol",73500
"toyota","Toyota Auris",14,"7800","Manual","Petrol",66500
"toyota","Toyota Auris",14,"5299","Manual","Diesel",184000
"toyota","Toyota Auris",14,"4890","Manual","Petrol",119800
"toyota","Toyota Auris",14,"4799","Manual","Diesel",208000
"toyota","Toyota Auris",14,"6900","Manual","Petrol",118000
"toyota","Toyota Auris",14,"6300","Manual","Petrol",96500
"toyota","Toyota Auris",13,"6400","Manual","Diesel",168000
"toyota","Toyota Auris",13,"5490","Automatic","Petrol",163000
"toyota","Toyota Auris",13,"4800","Manual","Diesel",187000
"toyota","Toyota Auris",13,"8300","Manual","Petrol",78900
"toyota","Toyota Auris",12,"6499","Manual","Diesel",260000
"toyota","Toyota Auris",12,"7500","Manual","Petrol",79996
"toyota","Toyota Auris",12,"9900","Manual","Petrol",77000
"toyota","Toyota Auris",12,"8860","Manual","Diesel",150150
"toyota","Toyota Auris",12,"7800","Manual","Petrol",122846
"toyota","Toyota Auris",12,"6800","Manual","Diesel",216240
"toyota","Toyota Auris",12,"8190","Manual","Petrol",82790
"toyota","Toyota Auris",12,"12470","Manual","Petrol",69850
"toyota","Toyota Auris",12,"5990","Manual","Petrol",177000
"toyota","Toyota Auris",11,"10599","Manual","Petrol",1e+05
"toyota","Toyota Auris",11,"10900","Manual","Petrol",80000
"toyota","Toyota Auris",11,"10900","Manual","Petrol",80000
"toyota","Toyota Auris",11,"16900","Automatic","Petrol",71000
"toyota","Toyota Auris",11,"9900","Manual","Petrol",152845
"toyota","Toyota Auris",11,"8450","Manual","Petrol",129000
"toyota","Toyota Auris",11,"10800","Manual","Petrol",57000
"toyota","Toyota Auris",11,"9999","Manual","Petrol",118000
"toyota","Toyota Auris",11,"9900","Manual","Petrol",101380
"toyota","Toyota Auris",11,"6990","Manual","Petrol",125000
"toyota","Toyota Auris",11,"12990","Manual","Petrol",91450
"toyota","Toyota Auris",11,"11700","Manual","Petrol",69400
"toyota","Toyota Auris",11,"12390","Manual","Petrol",71800
"toyota","Toyota Auris",11,"11200","Manual","Petrol",76449
"toyota","Toyota Auris",11,"11700","Manual","Petrol",69400
"toyota","Toyota Auris",11,"12490","Manual","Petrol",80366
"toyota","Toyota Auris",11,"7499","Manual","Diesel",175497
"toyota","Toyota Auris",11,"14660","Manual","Petrol",70500
"toyota","Toyota Auris",11,"12990","Automatic","Petrol",112400
"toyota","Toyota Auris",11,"9980","Manual","Petrol",138300
"toyota","Toyota Auris",11,"9480","Automatic","Petrol",120547
"toyota","Toyota Auris",10,"9500","Manual","Diesel",127800
"toyota","Toyota Auris",10,"11970","Manual","Petrol",101500
"toyota","Toyota Auris",10,"11970","Manual","Petrol",101500
"toyota","Toyota Auris",10,"9490","Manual","Petrol",110500
"toyota","Toyota Auris",10,"12980","Manual","Petrol",61974
"toyota","Toyota Auris",10,"7490","Manual","Diesel",228939
"toyota","Toyota Auris",10,"6999","Manual","Diesel",178965
"toyota","Toyota Auris",10,"13990","Manual","Petrol",50230
"toyota","Toyota Auris",10,"10799","Manual","Petrol",86500
"toyota","Toyota Auris",10,"9490","Manual","Petrol",128000
"toyota","Toyota Auris",10,"7950","Manual","Diesel",188000
"toyota","Toyota Auris",10,"10999","Manual","Petrol",45871
"toyota","Toyota Auris",10,"8990","Manual","Diesel",110000
"toyota","Toyota Auris",10,"6780","Manual","Petrol",72000
"toyota","Toyota Auris",10,"10990","Manual","Petrol",93130
"toyota","Toyota Auris",10,"14990","Manual","Petrol",112500
"toyota","Toyota Auris",10,"36900","Automatic","Petrol",108381
"toyota","Toyota Auris",10,"9950","Manual","Petrol",45871
"toyota","Toyota Auris",10,"10990","Manual","Petrol",47300
"toyota","Toyota Auris",10,"11990","Manual","Petrol",129000
"toyota","Toyota Auris",10,"8999","Manual","Petrol",121563
"toyota","Toyota Auris",10,"10999","Manual","Petrol",41000
"toyota","Toyota Auris",10,"10240","Manual","Petrol",84000
"toyota","Toyota Auris",10,"14490","Automatic","Petrol",135500
"toyota","Toyota Auris",9,"15920","Manual","Petrol",56894
"toyota","Toyota Auris",9,"12490","Manual","Petrol",99890
"toyota","Toyota Auris",9,"14790","Automatic","Petrol",79000
"toyota","Toyota Auris",9,"12990","Manual","Diesel",82100
"toyota","Toyota Auris",9,"12999","Manual","Petrol",51959
"toyota","Toyota Auris",9,"12490","Manual","Petrol",100500
"toyota","Toyota Auris",9,"11900","Manual","Petrol",70000
"toyota","Toyota Auris",9,"13760","Manual","Petrol",64640
"toyota","Toyota Auris",9,"15890","Automatic","Petrol",80500
"toyota","Toyota Auris",9,"9999","Manual","Petrol",59510
"toyota","Toyota Auris",9,"10490","Manual","Petrol",127500
"toyota","Toyota Auris",8,"12980","Manual","Petrol",60750
"toyota","Toyota Auris",8,"14300","Automatic","Petrol",9000
"toyota","Toyota Auris",8,"10000","Manual","Petrol",105000
"toyota","Toyota Auris",8,"11980","Manual","Petrol",102301
"toyota","Toyota Auris",8,"11980","Manual","Petrol",102301
"toyota","Toyota Auris",8,"13990","Manual","Petrol",30399
"toyota","Toyota Auris",8,"13640","Manual","Petrol",59800
"toyota","Toyota Auris",8,"14990","Manual","Petrol",34866
"toyota","Toyota Auris",8,"12900","Manual","Petrol",76709
"toyota","Toyota Auris",8,"11500","Manual","Petrol",116000
"toyota","Toyota Auris",8,"15290","Manual","Petrol",44400
"toyota","Toyota Auris",8,"10990","Manual","Petrol",76350
"toyota","Toyota Auris",8,"14270","Manual","Petrol",41383
"toyota","Toyota Auris",8,"16390","Manual","Petrol",28448
"toyota","Toyota Auris",8,"15980","Manual","Diesel",29000
"toyota","Toyota Auris",8,"13480","Manual","Petrol",86500
"toyota","Toyota Auris",8,"11990","Manual","Petrol",111749
"toyota","Toyota Auris",8,"11499","Manual","Petrol",87000
"toyota","Toyota Auris",8,"9900","Manual","Petrol",106800
"toyota","Toyota Auris",8,"11490","Manual","Petrol",109000
"toyota","Toyota Auris",8,"12990","Manual","Petrol",77500
"toyota","Toyota Auris",8,"12000","Manual","Diesel",78740
"toyota","Toyota Auris",8,"10490","Manual","Petrol",118000
"toyota","Toyota Auris",8,"13990","Manual","Petrol",43000
"toyota","Toyota Auris",8,"11990","Manual","Petrol",130185
"toyota","Toyota Auris",8,"15490","Manual","Petrol",94932
"toyota","Toyota Auris",8,"11990","Manual","Petrol",43980
"toyota","Toyota Auris",8,"14290","Manual","Petrol",48000
"toyota","Toyota Auris",8,"14980","Manual","Petrol",56000
"toyota","Toyota Auris",8,"12950","Manual","Diesel",120000
"toyota","Toyota Auris",8,"13990","Manual","Petrol",72032
"toyota","Toyota Auris",8,"9500","Manual","Diesel",159339
"toyota","Toyota Auris",8,"12890","Manual","Petrol",81168
"toyota","Toyota Auris",8,"10490","Manual","Diesel",154000
"toyota","Toyota Auris",8,"12490","Manual","Diesel",147000
"toyota","Toyota Auris",8,"12100","Manual","Petrol",163000
"toyota","Toyota Auris",8,"13490","Manual","Petrol",27500
"toyota","Toyota Auris",8,"14999","Automatic","Petrol",92527
