"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"toyota","Toyota Avensis",21,"3990","Manual","Diesel",223000
"toyota","Toyota Avensis",21,"2500","Manual","Diesel",199112
"toyota","Toyota Avensis",21,"3000","Manual","Petrol",233518
"toyota","Toyota Avensis",21,"2599","Manual","Petrol",210000
"toyota","Toyota Avensis",21,"2500","Manual","Diesel",272763
"toyota","Toyota Avensis",20,"3499","Automatic","Petrol",101100
"toyota","Toyota Avensis",20,"3799","Automatic","Petrol",187630
"toyota","Toyota Avensis",20,"2900","Manual","Petrol",203000
"toyota","Toyota Avensis",20,"5550","Automatic","Petrol",206489
"toyota","Toyota Avensis",20,"4700","Automatic","Petrol",120579
"toyota","Toyota Avensis",19,"1400","Manual","Diesel",215000
"toyota","Toyota Avensis",19,"3000","Manual","Diesel",193850
"toyota","Toyota Avensis",19,"2700","Manual","Petrol",146009
"toyota","Toyota Avensis",19,"3990","Manual","Petrol",153225
"toyota","Toyota Avensis",19,"3500","Manual","Petrol",199000
"toyota","Toyota Avensis",19,"5200","Manual","Petrol",171317
"toyota","Toyota Avensis",19,"14950","Automatic","Petrol",71360
"toyota","Toyota Avensis",19,"5990","Manual","Petrol",117458
"toyota","Toyota Avensis",18,"3500","Manual","Diesel",264000
"toyota","Toyota Avensis",18,"3500","Manual","Diesel",267280
"toyota","Toyota Avensis",18,"1400","Manual","Diesel",391000
"toyota","Toyota Avensis",18,"1999","Manual","Diesel",211850
"toyota","Toyota Avensis",18,"1998","Manual","Diesel",332500
"toyota","Toyota Avensis",18,"1685","Manual","Diesel",255000
"toyota","Toyota Avensis",18,"2350","Manual","Diesel",332000
"toyota","Toyota Avensis",18,"2200","Automatic","Petrol",277000
"toyota","Toyota Avensis",18,"1790","Manual","Diesel",258995
"toyota","Toyota Avensis",18,"6990","Manual","Petrol",95000
"toyota","Toyota Avensis",18,"4999","Manual","Petrol",186500
"toyota","Toyota Avensis",18,"3499","Manual","Petrol",199400
"toyota","Toyota Avensis",18,"6499","Manual","Petrol",57900
"toyota","Toyota Avensis",18,"12000","Automatic","Petrol",73700
"toyota","Toyota Avensis",18,"1900","Manual","Diesel",344000
"toyota","Toyota Avensis",18,"2899","Manual","Diesel",274000
"toyota","Toyota Avensis",18,"6599","Manual","Diesel",113550
"toyota","Toyota Avensis",18,"3990","Manual","Petrol",206490
"toyota","Toyota Avensis",17,"4500","Manual","Diesel",250000
"toyota","Toyota Avensis",17,"1890","Manual","Diesel",214000
"toyota","Toyota Avensis",17,"2999","Manual","Diesel",180000
"toyota","Toyota Avensis",17,"4500","Manual","Diesel",213000
"toyota","Toyota Avensis",17,"2700","Manual","Diesel",272391
"toyota","Toyota Avensis",16,"1450","Manual","Diesel",400613
"toyota","Toyota Avensis",16,"5500","Manual","Petrol",150500
"toyota","Toyota Avensis",16,"2200","Manual","Diesel",357000
"toyota","Toyota Avensis",15,"6799","Manual","Diesel",123450
"toyota","Toyota Avensis",15,"8500","Automatic","Petrol",134000
"toyota","Toyota Avensis",15,"8450","Manual","Petrol",147172
"toyota","Toyota Avensis",15,"4899","Manual","Diesel",225000
"toyota","Toyota Avensis",15,"7950","Automatic","Diesel",265000
"toyota","Toyota Avensis",15,"7000","Manual","Diesel",169000
"toyota","Toyota Avensis",15,"5399","Manual","Diesel",230000
"toyota","Toyota Avensis",15,"9999","Manual","Petrol",148737
"toyota","Toyota Avensis",15,"8899","Automatic","Petrol",98000
"toyota","Toyota Avensis",15,"5999","Manual","Diesel",221900
"toyota","Toyota Avensis",15,"11980","Automatic","Petrol",40175
"toyota","Toyota Avensis",15,"2499","Manual","Diesel",205000
"toyota","Toyota Avensis",15,"6499","Automatic","Petrol",179400
"toyota","Toyota Avensis",15,"3700","Manual","Diesel",181000
"toyota","Toyota Avensis",15,"10999","Manual","Petrol",40000
"toyota","Toyota Avensis",15,"3900","Manual","Diesel",290000
"toyota","Toyota Avensis",15,"6990","Manual","Petrol",177600
"toyota","Toyota Avensis",15,"9000","Manual","Petrol",99557
"toyota","Toyota Avensis",14,"7450","Manual","Petrol",173000
"toyota","Toyota Avensis",14,"4490","Manual","Diesel",247000
"toyota","Toyota Avensis",14,"7450","Manual","Petrol",173000
"toyota","Toyota Avensis",14,"5500","Manual","Diesel",199000
"toyota","Toyota Avensis",14,"8900","Manual","Petrol",84596
"toyota","Toyota Avensis",14,"7450","Manual","Diesel",141400
"toyota","Toyota Avensis",14,"7450","Manual","Petrol",173000
"toyota","Toyota Avensis",14,"7450","Manual","Petrol",173000
"toyota","Toyota Avensis",14,"7450","Manual","Petrol",173000
"toyota","Toyota Avensis",14,"6850","Automatic","Diesel",223000
"toyota","Toyota Avensis",14,"5900","Manual","Diesel",229612
"toyota","Toyota Avensis",14,"6899","Manual","Petrol",179000
"toyota","Toyota Avensis",14,"8000","Manual","Petrol",135000
"toyota","Toyota Avensis",14,"7450","Manual","Petrol",173000
"toyota","Toyota Avensis",14,"6450","Manual","Diesel",212700
"toyota","Toyota Avensis",14,"10899","Automatic","Petrol",83800
"toyota","Toyota Avensis",14,"7450","Manual","Petrol",173000
"toyota","Toyota Avensis",14,"9990","Manual","Petrol",101800
"toyota","Toyota Avensis",14,"8800","Manual","Petrol",1e+05
"toyota","Toyota Avensis",14,"7450","Manual","Petrol",173000
"toyota","Toyota Avensis",14,"7450","Manual","Petrol",173000
"toyota","Toyota Avensis",14,"8200","Manual","Petrol",2e+05
"toyota","Toyota Avensis",14,"7450","Manual","Petrol",173000
"toyota","Toyota Avensis",14,"7000","Automatic","Diesel",222568
"toyota","Toyota Avensis",14,"9930","Manual","Petrol",112990
"toyota","Toyota Avensis",14,"4900","Manual","Diesel",247800
"toyota","Toyota Avensis",14,"7450","Manual","Petrol",173000
"toyota","Toyota Avensis",14,"12800","Automatic","Diesel",45700
"toyota","Toyota Avensis",14,"6750","Manual","Diesel",184000
"toyota","Toyota Avensis",14,"9950","Manual","Petrol",98600
"toyota","Toyota Avensis",14,"7450","Manual","Petrol",173000
"toyota","Toyota Avensis",14,"8900","Automatic","Petrol",179000
"toyota","Toyota Avensis",14,"7450","Manual","Petrol",173000
"toyota","Toyota Avensis",14,"9500","Automatic","Diesel",152000
"toyota","Toyota Avensis",14,"7450","Manual","Petrol",173000
"toyota","Toyota Avensis",14,"7450","Manual","Petrol",173000
"toyota","Toyota Avensis",13,"9700","Manual","Diesel",142000
"toyota","Toyota Avensis",13,"8990","Manual","Petrol",190178
"toyota","Toyota Avensis",13,"5990","Manual","Diesel",207850
