"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"toyota","Toyota Aygo",19,"1500","Manual","Petrol",199000
"toyota","Toyota Aygo",18,"2300","Manual","Petrol",126000
"toyota","Toyota Aygo",18,"1000","Manual","Petrol",155000
"toyota","Toyota Aygo",18,"790","Manual","Petrol",207890
"toyota","Toyota Aygo",17,"2500","Manual","Petrol",174500
"toyota","Toyota Aygo",17,"3990","Manual","Petrol",116582
"toyota","Toyota Aygo",17,"3250","Manual","Petrol",123000
"toyota","Toyota Aygo",17,"2290","Manual","Petrol",150000
"toyota","Toyota Aygo",17,"3400","Manual","Petrol",105000
"toyota","Toyota Aygo",17,"2799","Manual","Petrol",138000
"toyota","Toyota Aygo",17,"3950","Manual","Petrol",95000
"toyota","Toyota Aygo",16,"4450","Manual","Petrol",124000
"toyota","Toyota Aygo",16,"3280","Manual","Petrol",84970
"toyota","Toyota Aygo",16,"3400","Manual","Petrol",162300
"toyota","Toyota Aygo",16,"3700","Manual","Petrol",87969
"toyota","Toyota Aygo",16,"3700","Manual","Petrol",97347
"toyota","Toyota Aygo",16,"2899","Manual","Petrol",184000
"toyota","Toyota Aygo",16,"2350","Manual","Petrol",168000
"toyota","Toyota Aygo",16,"3950","Manual","Petrol",88100
"toyota","Toyota Aygo",15,"5980","Manual","Petrol",100052
"toyota","Toyota Aygo",15,"3190","Manual","Petrol",131550
"toyota","Toyota Aygo",15,"3700","Manual","Petrol",108400
"toyota","Toyota Aygo",15,"3990","Manual","Petrol",119500
"toyota","Toyota Aygo",15,"2300","Manual","Petrol",186500
"toyota","Toyota Aygo",15,"3200","Manual","Petrol",133800
"toyota","Toyota Aygo",15,"3500","Manual","Petrol",1e+05
"toyota","Toyota Aygo",15,"1999","Manual","Petrol",192000
"toyota","Toyota Aygo",15,"3199","Manual","Petrol",91000
"toyota","Toyota Aygo",15,"3000","Manual","Petrol",120500
"toyota","Toyota Aygo",15,"3450","Manual","Petrol",210000
"toyota","Toyota Aygo",15,"3900","Manual","Petrol",87000
"toyota","Toyota Aygo",15,"2295","Manual","Petrol",180000
"toyota","Toyota Aygo",15,"2500","Manual","Petrol",197000
"toyota","Toyota Aygo",15,"6500","Automatic","Petrol",59711
"toyota","Toyota Aygo",15,"2700","Manual","Petrol",193000
"toyota","Toyota Aygo",15,"2990","Manual","Petrol",29252
"toyota","Toyota Aygo",15,"3000","Manual","Petrol",115052
"toyota","Toyota Aygo",15,"2200","Manual","Petrol",198000
"toyota","Toyota Aygo",15,"3900","Manual","Petrol",101050
"toyota","Toyota Aygo",15,"3228","Manual","Petrol",139565
"toyota","Toyota Aygo",15,"1285","Manual","Petrol",163862
"toyota","Toyota Aygo",15,"4000","Manual","Petrol",102000
"toyota","Toyota Aygo",14,"7690","Manual","Petrol",115640
"toyota","Toyota Aygo",14,"3790","Manual","Petrol",130100
"toyota","Toyota Aygo",14,"4200","Manual","Petrol",104098
"toyota","Toyota Aygo",14,"2980","Manual","Petrol",149500
"toyota","Toyota Aygo",14,"3900","Manual","Petrol",120570
"toyota","Toyota Aygo",14,"3500","Manual","Petrol",155000
"toyota","Toyota Aygo",14,"5950","Manual","Petrol",37000
"toyota","Toyota Aygo",14,"2900","Manual","Petrol",181000
"toyota","Toyota Aygo",14,"3990","Manual","Petrol",161671
"toyota","Toyota Aygo",14,"1600","Manual","Petrol",120000
"toyota","Toyota Aygo",14,"3850","Manual","Petrol",135600
"toyota","Toyota Aygo",14,"3600","Manual","Petrol",105000
"toyota","Toyota Aygo",14,"3800","Manual","Petrol",95000
"toyota","Toyota Aygo",14,"4299","Manual","Petrol",51933
"toyota","Toyota Aygo",14,"2995","Manual","Petrol",185660
"toyota","Toyota Aygo",14,"2600","Manual","Petrol",167104
"toyota","Toyota Aygo",13,"5800","Manual","Petrol",40000
"toyota","Toyota Aygo",13,"2300","Manual","Petrol",160000
"toyota","Toyota Aygo",12,"2999","Manual","Petrol",187700
"toyota","Toyota Aygo",12,"4499","Manual","Petrol",106000
"toyota","Toyota Aygo",12,"3500","Manual","Petrol",149000
"toyota","Toyota Aygo",12,"5550","Manual","Petrol",101100
"toyota","Toyota Aygo",12,"5200","Manual","Petrol",74000
"toyota","Toyota Aygo",12,"6000","Manual","Petrol",90364
"toyota","Toyota Aygo",12,"4599","Manual","Petrol",110000
"toyota","Toyota Aygo",12,"5280","Manual","Petrol",112213
"toyota","Toyota Aygo",12,"3790","Manual","Petrol",179000
"toyota","Toyota Aygo",11,"5990","Manual","Petrol",151386
"toyota","Toyota Aygo",11,"4500","Manual","Petrol",114508
"toyota","Toyota Aygo",11,"5200","Manual","Petrol",89000
"toyota","Toyota Aygo",11,"7490","Manual","Petrol",51068
"toyota","Toyota Aygo",11,"4200","Manual","Petrol",164000
"toyota","Toyota Aygo",11,"5990","Manual","Petrol",78350
"toyota","Toyota Aygo",11,"7980","Manual","Petrol",85500
"toyota","Toyota Aygo",11,"5450","Manual","Petrol",123000
"toyota","Toyota Aygo",11,"6400","Manual","Petrol",62292
"toyota","Toyota Aygo",11,"5000","Manual","Petrol",112235
"toyota","Toyota Aygo",11,"3399","Manual","Petrol",158000
"toyota","Toyota Aygo",11,"8950","Manual","Petrol",9200
"toyota","Toyota Aygo",10,"7890","Manual","Petrol",87167
"toyota","Toyota Aygo",10,"5799","Manual","Petrol",165000
"toyota","Toyota Aygo",10,"10790","Manual","Petrol",38000
"toyota","Toyota Aygo",10,"7900","Manual","Petrol",94500
"toyota","Toyota Aygo",10,"7500","Manual","Petrol",84900
"toyota","Toyota Aygo",10,"7210","Manual","Petrol",55023
"toyota","Toyota Aygo",10,"3199","Manual","Petrol",193400
