"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"toyota","Toyota Proace",11,"9996","Manual","Diesel",2e+05
"toyota","Toyota Proace",10,"7300","Manual","Diesel",152000
"toyota","Toyota Proace",10,"11305","Manual","Diesel",163500
"toyota","Toyota Proace",9,"10591","Manual","Diesel",228400
"toyota","Toyota Proace",9,"11840","Automatic","Diesel",218000
"toyota","Toyota Proace",9,"7990","Manual","Diesel",126818
"toyota","Toyota Proace",9,"10591","Manual","Diesel",150000
"toyota","Toyota Proace",8,"24880","Manual","Diesel",95122
"toyota","Toyota Proace",8,"10990","Manual","Diesel",166000
"toyota","Toyota Proace",7,"19999","Manual","Diesel",36000
"toyota","Toyota Proace",7,"30980","Automatic","Diesel",126843
"toyota","Toyota Proace",7,"32450","Automatic","Diesel",57300
"toyota","Toyota Proace",7,"32000","Manual","Diesel",84000
"toyota","Toyota Proace",7,"19490","Manual","Diesel",122000
"toyota","Toyota Proace",7,"18750","Manual","Diesel",67000
"toyota","Toyota Proace",7,"39450","Automatic","Diesel",91500
"toyota","Toyota Proace",7,"24800","Automatic","Diesel",187300
"toyota","Toyota Proace",7,"32950","Automatic","Diesel",74000
"toyota","Toyota Proace",7,"28300","Automatic","Diesel",78381
"toyota","Toyota Proace",7,"22690","Manual","Diesel",24124
"toyota","Toyota Proace",7,"26900","Manual","Diesel",83300
"toyota","Toyota Proace",7,"31990","Automatic","Diesel",80500
"toyota","Toyota Proace",6,"34980","Manual","Diesel",76508
"toyota","Toyota Proace",6,"34980","Manual","Diesel",76508
"toyota","Toyota Proace",6,"26980","Manual","Diesel",96656
"toyota","Toyota Proace",6,"35990","Manual","Diesel",54840
"toyota","Toyota Proace",6,"29990","Manual","Diesel",61148
"toyota","Toyota Proace",6,"33490","Manual","Diesel",86639
"toyota","Toyota Proace",6,"17900","Manual","Diesel",79000
"toyota","Toyota Proace",6,"37900","Manual","Diesel",53850
"toyota","Toyota Proace",6,"37900","Manual","Diesel",53850
"toyota","Toyota Proace",6,"30800","Manual","Diesel",84500
"toyota","Toyota Proace",6,"37900","Manual","Diesel",53850
"toyota","Toyota Proace",6,"37900","Manual","Diesel",53850
"toyota","Toyota Proace",6,"41840","Automatic","Diesel",39606
"toyota","Toyota Proace",6,"21988","Manual","Diesel",92788
"toyota","Toyota Proace",6,"38655","Automatic","Diesel",58810
"toyota","Toyota Proace",6,"18999","Manual","Diesel",140000
"toyota","Toyota Proace",6,"31890","Manual","Diesel",30000
"toyota","Toyota Proace",6,"19900","Manual","Diesel",204000
"toyota","Toyota Proace",6,"36500","Automatic","Diesel",69000
"toyota","Toyota Proace",6,"19990","Manual","Diesel",101000
"toyota","Toyota Proace",6,"18990","Manual","Diesel",150000
