"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"toyota","Toyota Yaris",22,"2990","Manual","Petrol",97000
"toyota","Toyota Yaris",22,"2199","Manual","Petrol",295000
"toyota","Toyota Yaris",22,"1999","Manual","Petrol",160328
"toyota","Toyota Yaris",22,"1100","Manual","Petrol",102000
"toyota","Toyota Yaris",22,"2222","Manual","Petrol",111000
"toyota","Toyota Yaris",22,"1999","Manual","Petrol",137000
"toyota","Toyota Yaris",22,"1300","Manual","Petrol",152148
"toyota","Toyota Yaris",21,"4900","Manual","Petrol",94000
"toyota","Toyota Yaris",21,"5200","Automatic","Petrol",85000
"toyota","Toyota Yaris",21,"1600","Manual","Diesel",201510
"toyota","Toyota Yaris",21,"2499","Manual","Petrol",153006
"toyota","Toyota Yaris",21,"3490","Manual","Diesel",164100
"toyota","Toyota Yaris",21,"2700","Manual","Petrol",162908
"toyota","Toyota Yaris",21,"2800","Manual","Petrol",108000
"toyota","Toyota Yaris",20,"1500","Manual","Petrol",2e+05
"toyota","Toyota Yaris",20,"1790","Manual","Petrol",201850
"toyota","Toyota Yaris",20,"1000","Manual","Petrol",248000
"toyota","Toyota Yaris",20,"3370","Manual","Petrol",107000
"toyota","Toyota Yaris",20,"4980","Manual","Petrol",70000
"toyota","Toyota Yaris",20,"1798","Manual","Petrol",191400
"toyota","Toyota Yaris",20,"3999","Manual","Petrol",107876
"toyota","Toyota Yaris",20,"2590","Manual","Petrol",162000
"toyota","Toyota Yaris",20,"3200","Manual","Petrol",226528
"toyota","Toyota Yaris",19,"1580","Manual","Petrol",213298
"toyota","Toyota Yaris",19,"2500","Manual","Petrol",174000
"toyota","Toyota Yaris",19,"2950","Manual","Petrol",153770
"toyota","Toyota Yaris",19,"4999","Manual","Petrol",195018
"toyota","Toyota Yaris",19,"7450","Automatic","Petrol",59500
"toyota","Toyota Yaris",19,"2490","Manual","Petrol",215000
"toyota","Toyota Yaris",19,"5500","Automatic","Petrol",108000
"toyota","Toyota Yaris",19,"3499","Manual","Petrol",94780
"toyota","Toyota Yaris",19,"2850","Manual","Petrol",150000
"toyota","Toyota Yaris",19,"2300","Manual","Petrol",101000
"toyota","Toyota Yaris",19,"2999","Manual","Petrol",117889
"toyota","Toyota Yaris",19,"8999","Automatic","Petrol",57000
"toyota","Toyota Yaris",19,"999","Manual","Petrol",207000
"toyota","Toyota Yaris",19,"5990","Manual","Petrol",85803
