"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"toyota","Toyota Yaris","2002","2990","Manual","Petrol",97000
"toyota","Toyota Yaris","2002","2199","Manual","Petrol",295000
"toyota","Toyota Yaris","2002","1999","Manual","Petrol",160328
"toyota","Toyota Yaris","2002","1100","Manual","Petrol",102000
"toyota","Toyota Yaris","2002","2222","Manual","Petrol",111000
"toyota","Toyota Yaris","2002","1999","Manual","Petrol",137000
"toyota","Toyota Yaris","2002","1300","Manual","Petrol",152148
"toyota","Toyota Yaris","2003","4900","Manual","Petrol",94000
"toyota","Toyota Yaris","2003","2499","Manual","Petrol",153006
"toyota","Toyota Yaris","2003","2700","Manual","Petrol",162908
"toyota","Toyota Yaris","2003","2800","Manual","Petrol",108000
"toyota","Toyota Yaris","2004","1500","Manual","Petrol",2e+05
"toyota","Toyota Yaris","2004","1790","Manual","Petrol",201850
"toyota","Toyota Yaris","2004","1000","Manual","Petrol",248000
"toyota","Toyota Yaris","2004","3370","Manual","Petrol",107000
"toyota","Toyota Yaris","2004","4980","Manual","Petrol",70000
"toyota","Toyota Yaris","2004","1798","Manual","Petrol",191400
"toyota","Toyota Yaris","2004","3999","Manual","Petrol",107876
"toyota","Toyota Yaris","2004","2590","Manual","Petrol",162000
"toyota","Toyota Yaris","2004","3200","Manual","Petrol",226528
"toyota","Toyota Yaris","2005","1580","Manual","Petrol",213298
"toyota","Toyota Yaris","2005","2500","Manual","Petrol",174000
"toyota","Toyota Yaris","2005","2950","Manual","Petrol",153770
"toyota","Toyota Yaris","2005","4999","Manual","Petrol",195018
"toyota","Toyota Yaris","2005","2490","Manual","Petrol",215000
"toyota","Toyota Yaris","2005","3499","Manual","Petrol",94780
"toyota","Toyota Yaris","2005","2850","Manual","Petrol",150000
"toyota","Toyota Yaris","2005","2300","Manual","Petrol",101000
"toyota","Toyota Yaris","2005","2999","Manual","Petrol",117889
"toyota","Toyota Yaris","2005","999","Manual","Petrol",207000
"toyota","Toyota Yaris","2005","5990","Manual","Petrol",85803
"toyota","Toyota Yaris","2005","4985","Manual","Petrol",239335
"toyota","Toyota Yaris","2006","4700","Manual","Petrol",50000
"toyota","Toyota Yaris","2006","3499","Manual","Petrol",144991
"toyota","Toyota Yaris","2006","2600","Manual","Petrol",202500
"toyota","Toyota Yaris","2006","3950","Manual","Petrol",154000
"toyota","Toyota Yaris","2006","4300","Manual","Petrol",115000
"toyota","Toyota Yaris","2006","2500","Manual","Petrol",211977
"toyota","Toyota Yaris","2006","4200","Manual","Petrol",52800
"toyota","Toyota Yaris","2006","2690","Manual","Petrol",183830
"toyota","Toyota Yaris","2006","4500","Manual","Petrol",107000
"toyota","Toyota Yaris","2006","3790","Manual","Petrol",152762
"toyota","Toyota Yaris","2006","3750","Manual","Petrol",106900
"toyota","Toyota Yaris","2006","4999","Manual","Petrol",132104
"toyota","Toyota Yaris","2006","3950","Manual","Petrol",109000
"toyota","Toyota Yaris","2006","3900","Manual","Petrol",151083
"toyota","Toyota Yaris","2006","2980","Manual","Petrol",121944
"toyota","Toyota Yaris","2006","2690","Manual","Petrol",215000
"toyota","Toyota Yaris","2006","2499","Manual","Petrol",140432
"toyota","Toyota Yaris","2007","1700","Manual","Petrol",180000
"toyota","Toyota Yaris","2007","2700","Manual","Petrol",1e+05
"toyota","Toyota Yaris","2007","3900","Manual","Petrol",127000
"toyota","Toyota Yaris","2007","2950","Manual","Petrol",125000
"toyota","Toyota Yaris","2007","3990","Manual","Petrol",144365
