"brand","model","year","price_in_euro","transmission_type","fuel_type","mileage_in_km"
"audi","Audi A3",2013,14980,"Automatic","Diesel",157511
"audi","Audi A3",2013,18990,"Automatic","Diesel",136500
"audi","Audi A3",2013,11999,"Automatic","Diesel",112950
"audi","Audi A3",2013,13799,"Automatic","Diesel",149000
"audi","Audi A3",2013,14990,"Automatic","Diesel",124850
"audi","Audi A3",2013,10990,"Automatic","Diesel",209000
"audi","Audi A3",2013,10900,"Automatic","Diesel",233900
"audi","Audi A3",2013,17980,"Automatic","Diesel",113510
"audi","Audi A3",2013,8390,"Automatic","Diesel",228500
"audi","Audi A3",2013,12650,"Automatic","Diesel",145000
"audi","Audi A3",2013,15490,"Automatic","Diesel",115000
"audi","Audi A3",2013,16450,"Automatic","Diesel",98000
"audi","Audi A3",2013,14990,"Automatic","Diesel",145980
"audi","Audi A3",2013,14490,"Automatic","Diesel",175727
"audi","Audi A3",2013,14000,"Automatic","Diesel",143000
"audi","Audi A3",2013,12990,"Automatic","Diesel",199950
"audi","Audi A3",2013,11990,"Automatic","Diesel",175142
"audi","Audi A3",2013,13999,"Automatic","Diesel",2e+05
"audi","Audi A3",2013,16450,"Automatic","Diesel",98000
"audi","Audi A3",2013,12400,"Automatic","Diesel",146500
"audi","Audi A3",2013,33000,"Automatic","Diesel",143000
"audi","Audi A3",2013,18290,"Automatic","Diesel",69726
"audi","Audi A3",2013,14690,"Automatic","Diesel",117957
"audi","Audi A3",2013,14980,"Automatic","Diesel",107300
"audi","Audi A3",2013,10000,"Automatic","Diesel",210000
"audi","Audi A3",2013,13980,"Automatic","Diesel",119322
"audi","Audi A3",2013,16950,"Automatic","Diesel",39000
"audi","Audi A3",2013,9990,"Automatic","Diesel",202000
"audi","Audi A3",2013,14450,"Automatic","Diesel",124200
"audi","Audi A3",2013,16500,"Automatic","Diesel",144000
"audi","Audi A3",2013,19850,"Automatic","Diesel",72800
"audi","Audi A3",2014,18450,"Automatic","Diesel",189000
"audi","Audi A3",2014,15490,"Automatic","Diesel",108491
"audi","Audi A3",2014,17990,"Automatic","Diesel",167500
"audi","Audi A3",2014,18886,"Automatic","Diesel",111670
"audi","Audi A3",2014,13880,"Automatic","Diesel",2e+05
"audi","Audi A3",2014,12700,"Automatic","Diesel",161900
"audi","Audi A3",2014,15900,"Automatic","Diesel",166103
"audi","Audi A3",2014,15500,"Automatic","Diesel",98000
"audi","Audi A3",2014,17890,"Automatic","Diesel",112600
"audi","Audi A3",2014,20800,"Automatic","Diesel",31600
"audi","Audi A3",2014,19897,"Automatic","Diesel",112353
"audi","Audi A3",2014,12300,"Automatic","Diesel",188943
"audi","Audi A3",2014,12800,"Automatic","Diesel",256650
"audi","Audi A3",2014,9900,"Automatic","Diesel",225000
"audi","Audi A3",2014,13990,"Automatic","Diesel",179000
"audi","Audi A3",2014,12899,"Automatic","Diesel",180000
"audi","Audi A3",2014,16930,"Automatic","Diesel",123088
"audi","Audi A3",2014,17900,"Automatic","Diesel",148000
"audi","Audi A3",2014,12899,"Automatic","Diesel",195510
"audi","Audi A3",2014,10999,"Automatic","Diesel",242633
"audi","Audi A3",2014,12999,"Automatic","Diesel",241000
"audi","Audi A3",2014,19990,"Automatic","Diesel",124500
"audi","Audi A3",2014,17999,"Automatic","Diesel",102650
"audi","Audi A3",2014,15900,"Automatic","Diesel",181000
"audi","Audi A3",2014,13950,"Automatic","Diesel",160000
"audi","Audi A3",2014,13400,"Automatic","Diesel",238000
"audi","Audi A3",2014,20990,"Automatic","Diesel",123000
"audi","Audi A3",2014,19450,"Automatic","Diesel",59900
"audi","Audi A3",2014,16490,"Automatic","Diesel",83000
"audi","Audi A3",2014,19999,"Automatic","Diesel",49500
"audi","Audi A3",2014,13950,"Automatic","Diesel",148100
"audi","Audi A3",2014,17999,"Automatic","Diesel",149000
"audi","Audi A3",2014,15900,"Automatic","Diesel",142500
"audi","Audi A3",2014,14850,"Automatic","Diesel",125000
"audi","Audi A3",2015,10995,"Automatic","Diesel",232000
"audi","Audi A3",2015,15750,"Automatic","Diesel",145000
"audi","Audi A3",2015,15890,"Automatic","Diesel",123500
"audi","Audi A3",2015,17250,"Automatic","Diesel",178790
"audi","Audi A3",2015,16450,"Automatic","Diesel",72300
"audi","Audi A3",2015,12700,"Automatic","Diesel",205000
"audi","Audi A3",2015,20485,"Automatic","Diesel",59701
"audi","Audi A3",2015,15900,"Automatic","Diesel",106293
"audi","Audi A3",2015,15490,"Automatic","Diesel",151900
"audi","Audi A3",2015,18500,"Automatic","Diesel",170000
"audi","Audi A3",2015,16300,"Automatic","Diesel",146359
"audi","Audi A3",2015,14999,"Automatic","Diesel",84355
"audi","Audi A3",2015,17900,"Automatic","Diesel",114000
"audi","Audi A3",2015,22000,"Automatic","Diesel",2e+05
"audi","Audi A3",2015,14490,"Automatic","Diesel",139000
"audi","Audi A3",2015,24969,"Automatic","Diesel",64756
"audi","Audi A3",2015,19950,"Automatic","Diesel",118900
"audi","Audi A3",2015,14799,"Automatic","Diesel",161200
"audi","Audi A3",2015,13999,"Automatic","Diesel",179680
"audi","Audi A3",2015,14999,"Automatic","Diesel",135000
"audi","Audi A3",2015,18970,"Automatic","Diesel",117855
